platform,track_name,artist_name,album_name,reason_start
android,The Sound of Reverie (Remix),The Maine,The Sound of Reverie (Remix),remote
android,The Man Comes Around,Johnny Cash,American IV: The Man Comes Around,trackdone
android,Chick Bromea,Clément,Chick Bromea,trackdone
cast to device,This River Is Wild,The Killers,Sam's Town,trackdone
android,My Way,Frank Sinatra,Ultimate Sinatra,fwdbtn
android,Listen to Your Heart,The Maine,Black & White,appload
android,Be Somebody,Kings of Leon,Only By The Night,fwdbtn
android,Lonely (with benny blanco),Justin Bieber,Lonely (with benny blanco),trackdone
android,Any Time At All - Remastered 2009,The Beatles,A Hard Day's Night,trackdone
windows,Born To Die,Lana Del Rey,Born To Die - The Paradise Edition,trackdone
android,"Folsom Prison Blues - Live at San Quentin State Prison, San Quentin, CA - February 1969",Johnny Cash,At San Quentin,fwdbtn
android,The Door Is Still Open to My Heart,Dean Martin,The Essential Dean Martin,fwdbtn
android,Roy Rogers - Remastered 2014,Elton John,Goodbye Yellow Brick Road,trackdone
android,Totò e Alfredo - Version 2,Ennio Morricone,Nuovo Cinema Paradiso (Original Motion Picture Soundtrack),trackdone
android,Coloratura,Coldplay,Music Of The Spheres,trackdone
android,I Gave You All,Mumford & Sons,Sigh No More,trackdone
iOS,Night Flight - 1993 Remaster,Led Zeppelin,Physical Graffiti,trackdone
android,Eternal Summer,The Strokes,The New Abnormal,trackdone
cast to device,Perfectly Lonely,John Mayer,Battle Studies,trackdone
android,Dancing in My Room,347aidan,Dancing in My Room,trackdone
android,Noid,"Tyler, The Creator",CHROMAKOPIA,trackdone
android,Visions of Johanna,Bob Dylan,Blonde On Blonde,trackdone
android,From Yesterday,Thirty Seconds To Mars,A Beautiful Lie,trackdone
iOS,How Many More Times - Remaster,Led Zeppelin,Led Zeppelin,trackdone
android,Some Nights - Intro,fun.,Some Nights,backbtn
android,Kings And Queens,Thirty Seconds To Mars,This Is War,fwdbtn
android,Hymn for the Weekend,Coldplay,A Head Full of Dreams,fwdbtn
android,Maggot Brain,Funkadelic,Maggot Brain,trackdone
android,Lipstick (Shout),J.M. Black,"France chébran: French Boogie (1982 - 1989), Vol. 2",fwdbtn
iOS,Travelin' Band,Creedence Clearwater Revival,Cosmo's Factory,trackdone
iOS,Day Tripper - Remastered 2009,The Beatles,Past Masters,trackdone
android,Ordinary Love,U2,Mandela – Long Walk To Freedom (Original Motion Picture Soundtrack),clickrow
android,Let It Go,James Bay,Chaos And The Calm,trackdone
android,Fawkes Is Reborn,John Williams,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,fwdbtn
android,Back In Black,AC/DC,Back In Black,trackdone
android,Gimme Some Truth - Remastered 2010,John Lennon,Imagine,trackdone
android,Julia - Remastered 2009,The Beatles,The Beatles,fwdbtn
android,Madan (King),Bakermat,Madan (King),trackdone
android,Let There Be Rock,AC/DC,Let There Be Rock,fwdbtn
android,Ya Hey,Vampire Weekend,Modern Vampires of the City,fwdbtn
android,Outlaw Blues,Bob Dylan,Bringing It All Back Home,trackdone
android,A Day In The Life - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,trackdone
android,Wake Me up When September Ends,Green Day,American Idiot,fwdbtn
android,Young Blood,The Naked And Famous,"Passive Me, Aggressive You",fwdbtn
cast to device,What Ever Happened?,The Strokes,Room On Fire,trackdone
android,Lovely Rita - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,fwdbtn
android,Christmas (Baby Please Come Home),Darlene Love,"Christmas (Baby, Please Come Home)",trackdone
android,More Than a Feeling,Boston,Boston,trackdone
android,Cuando Me Enamoro,Andrea Bocelli,Amor - Edición Especial En Español,trackdone
cast to device,Epilogue,Justin Hurwitz,La La Land,remote
