restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords,first_review_date,last_review_date
,L essartis,"[""Europe"", ""France"", ""Hauts-de-France"", ""Pas-de-Calais"", ""Lumbres""]",France,Hauts-de-France,Pas-de-Calais,Lumbres,"4248 N Fracture, 62380 Lumbres France",50.71009,2.11487,Claimed,,#6 of 6 Restaurants in Lumbres,#6 of 6 places to eat in Lumbres,"Cheap Eats, French, Bar, Pub",,,Lunch,,,"Reservations, Seating, Wheelchair Accessible, Table Service",N,N,N,,,,,3.0,25.0,English,3.0,0.0,3.0,0.0,,0.0,3.0,3.0,3.0,,,2022-07-18,2023-07-25
g1080559-d12493122,,,France,Hauts-de-France,Nord,Marcq-en-Baroeul,,,3.116478,,,#46 of 66 Restaurants in Marcq-en-Baroeul,#48 of 73 places to eat in Marcq-en-Baroeul,,€€-€€€,€4-€15,"Lunch, Dinner, After-hours, Drinks",,,,N,N,,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""09:00-21:00""], ""Sun"": [""09:00-21:00""]}",7.0,84.0,7.0,4.5,5.0,All languages,5.0,3.0,1.0,1.0,0.0,0.0,,,,,,,2017-09-09
,La Fontaine de Fes,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lille"", ""Marcq-en-Baroeul""]",France,Hauts-de-France,Nord,Marcq-en-Baroeul,"461 rue Albert Bailly, 59700 Marcq-en-Baroeul, Lille France",50.68852,3.11401,Unclaimed,,#60 of 66 Restaurants in Marcq-en-Baroeul,#62 of 73 places to eat in Marcq-en-Baroeul,,,,,,,,N,N,N,,,,,3.5,,All languages,,,1.0,2.0,0.0,0.0,,,,,,2014-03-31,2018-05-23
g1080559-d17727138,Hyuga,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lille"", ""Marcq-en-Baroeul""]",France,Hauts-de-France,Nord,Marcq-en-Baroeul,,50.66697,3.076218,Unclaimed,,#43 of 66 Restaurants in Marcq-en-Baroeul,#45 of 73 places to eat in Marcq-en-Baroeul,,€€-€€€,,"Lunch, Dinner",Japanese,,"Reservations, Seating, Table Service",N,,N,,,,,,,All languages,12.0,6.0,,0.0,1.0,2.0,,,,,,2012-10-24,2013-11-01
g1080559-d21259673,,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lille"", ""Marcq-en-Baroeul""]",France,Hauts-de-France,,Marcq-en-Baroeul,"157 avenue de la Marne, 59700 Marcq-en-Baroeul, Lille France",50.679016,3.109919,,,#50 of 66 Restaurants in Marcq-en-Baroeul,#52 of 73 places to eat in Marcq-en-Baroeul,"Mid-range, French",€€-€€€,€19-€33,"Breakfast, Lunch, Dinner, Brunch, Drinks",French,,,,N,,,,38.5,,5.0,2.0,All languages,2.0,,0.0,,0.0,0.0,,,,,,2017-08-28,
,,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lille"", ""Marcq-en-Baroeul""]",France,,Nord,Marcq-en-Baroeul,"209 B rue de la Rianderie, 59700 Marcq-en-Baroeul, Lille France",50.6655,3.10196,Unclaimed,,#31 of 66 Restaurants in Marcq-en-Baroeul,,"Cheap Eats, European, Vegetarian Friendly",€,,"Breakfast, Lunch",European,Vegetarian Friendly,,Y,N,N,"{""Mon"": [""09:00-17:00""], ""Tue"": [""09:00-17:00""], ""Wed"": [""09:00-17:00""], ""Thu"": [""09:00-17:00""], ""Fri"": [""09:00-17:00""], ""Sat"": [], ""Sun"": []}",,40.0,,4.0,28.0,English,,1.0,1.0,0.0,0.0,,4.0,,4.0,3.5,,2021-11-12,2023-12-31
g1080559-d5955824,,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lille"", ""Marcq-en-Baroeul""]",,,Nord,Marcq-en-Baroeul,,50.68817,3.10923,,,#55 of 66 Restaurants in Marcq-en-Baroeul,#57 of 73 places to eat in Marcq-en-Baroeul,,,,Lunch,,,,N,N,N,"{""Mon"": [""12:00-14:00""], ""Tue"": [""12:00-14:00""], ""Wed"": [""12:00-14:00""], ""Thu"": [""12:00-14:00""], ""Fri"": [""12:00-14:00""], ""Sat"": [], ""Sun"": []}",,10.0,5.0,4.0,4.0,All languages,,1.0,,,0.0,0.0,,,,,,2018-05-11,
g1080559-d7712632,,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lille"", ""Marcq-en-Baroeul""]",France,Hauts-de-France,,Marcq-en-Baroeul,,50.66161,3.104336,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",,#3 of 73 places to eat in Marcq-en-Baroeul,"Mid-range, French, European",€€-€€€,,"Lunch, Dinner",,,"Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Table Service",N,N,,,,,,4.0,194.0,English,4.0,2.0,,,,0.0,4.0,4.0,4.0,,,,2017-04-28
g1080559-d8298070,,,France,,,Marcq-en-Baroeul,"56 rue Nationale, 59700 Marcq-en-Baroeul, Lille France",50.666424,3.075957,Claimed,,#65 of 66 Restaurants in Marcq-en-Baroeul,#67 of 73 places to eat in Marcq-en-Baroeul,,€,,,"Italian, Pizza",,,N,N,N,"{""Mon"": [""11:30-14:00"", ""18:00-22:30""], ""Tue"": [""11:30-14:00"", ""18:00-22:30""], ""Wed"": [""11:30-14:00"", ""18:00-22:30""], ""Thu"": [""11:30-14:00"", ""18:00-22:30""], ""Fri"": [""11:30-14:00"", ""18:00-22:30""], ""Sat"": [""11:30-14:00"", ""18:00-22:30""], ""Sun"": [""11:30-14:00"", ""18:00-22:30""]}",7.0,49.0,14.0,3.0,9.0,,9.0,1.0,3.0,1.0,1.0,3.0,,,,,,2010-09-25,
,Boulangerie Brice,,France,Hauts-de-France,Nord,Marcq-en-Baroeul,"10 Contour de l Eglise, 59700 Marcq-en-Baroeul, Lille France",,3.07256,Unclaimed,,#1 of 1 Bakery in Marcq-en-Baroeul,#30 of 73 places to eat in Marcq-en-Baroeul,"Cheap Eats, Bakeries, French",,,,French,,Takeout,N,N,N,,6.0,58.0,11.0,4.5,24.0,All languages,24.0,16.0,3.0,1.0,3.0,1.0,,,4.5,,,2017-06-26,
g1080561-d1338144,Le Méditerranéen,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lille"", ""Mons-en-Baroeul""]",France,Hauts-de-France,Nord,Mons-en-Baroeul,"56 B avenue Robert Schuman, 59370 Mons-en-Baroeul, Lille France",50.641903,3.108779,,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#2 of 10 Restaurants in Mons-en-Baroeul,#2 of 11 places to eat in Mons-en-Baroeul,"Mid-range, French, Moroccan, Mediterranean",€€-€€€,€10-€29,,"French, Moroccan, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options",,Y,,N,"{""Mon"": [], ""Tue"": [""10:00-15:00""], ""Wed"": [""10:00-15:00""], ""Thu"": [""10:00-15:00"", ""18:30-22:00""], ""Fri"": [""10:00-15:00"", ""18:30-22:00""], ""Sat"": [""10:00-15:00"", ""18:30-22:00""], ""Sun"": [""10:00-15:00""]}",,40.5,,4.5,144.0,,2.0,1.0,0.0,1.0,0.0,0.0,,5.0,4.5,,,2019-01-04,2019-02-19
g1080561-d8513103,,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Lille"", ""Mons-en-Baroeul""]",France,Hauts-de-France,Nord,Mons-en-Baroeul,"123 rue Voltaire, 59370 Mons-en-Baroeul, Lille France",50.63525,,Unclaimed,,#3 of 10 Restaurants in Mons-en-Baroeul,#3 of 11 places to eat in Mons-en-Baroeul,,€€-€€€,,"Dinner, Lunch",,,"Reservations, Seating, Table Service",N,N,,,,,,4.5,,All languages,,,3.0,0.0,2.0,0.0,,5.0,4.5,,,,2017-02-02
g1080563-d21081271,Entre 2 Cotes,"[""Europe"", ""France"", ""Hauts-de-France"", ""Pas-de-Calais"", ""Rang-du-Fliers""]",France,Hauts-de-France,Pas-de-Calais,Rang-du-Fliers,"Cd 917, 62180 Rang-du-Fliers France",50.41442,1.624,Unclaimed,,#6 of 6 Restaurants in Rang-du-Fliers,#6 of 7 places to eat in Rang-du-Fliers,"Mid-range, Dining bars",€€-€€€,,,Dining bars,,,N,N,,,,,,2.5,12.0,English,1.0,0.0,0.0,0.0,0.0,,,,,,,2023-06-17,2023-12-01
g1080564-d15121037,Il Était une Frite,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Saint-Amand-les-Eaux""]",France,Hauts-de-France,Nord,Saint-Amand-les-Eaux,"81 Grand place, 59230 Saint-Amand-les-Eaux France",,3.428277,Unclaimed,,,#19 of 27 places to eat in Saint-Amand-les-Eaux,,,€3-€9,,"Belgian, Fast food, European, Albanian",,,N,N,,,,,,,5.0,,5.0,,3.0,0.0,1.0,0.0,,,,,,2020-06-11,2022-08-25
g1080564-d4134283,Au Bureau,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Saint-Amand-les-Eaux""]",,,Nord,,"Rocade Nord A Cote du Bowling, 59230 Saint-Amand-les-Eaux France",50.44483,3.443082,Claimed,,,,"Mid-range, French, Bar, European",€€-€€€,,"Lunch, Dinner, After-hours, Drinks","French, Bar, European",Vegetarian Friendly,,Y,,N,"{""Mon"": [""11:30-14:30"", ""18:30-21:30""], ""Tue"": [""11:30-14:30"", ""18:30-21:30""], ""Wed"": [""11:30-14:30"", ""18:30-21:30""], ""Thu"": [""11:30-14:30"", ""18:30-21:30""], ""Fri"": [""11:30-14:30"", ""18:30-22:00""], ""Sat"": [""11:30-14:30"", ""18:30-22:00""], ""Sun"": [""11:30-14:30"", ""18:30-21:30""]}",,,14.0,3.5,327.0,English,4.0,0.0,,1.0,0.0,0.0,3.5,4.0,,4.0,,2014-05-02,
g1080564-d6446804,Le Forestier,"[""Europe"", ""France"", ""Hauts-de-France"", ""Nord"", ""Saint-Amand-les-Eaux""]",France,Hauts-de-France,Nord,Saint-Amand-les-Eaux,,50.44219,3.47944,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2017",#9 of 25 Restaurants in Saint-Amand-les-Eaux,#9 of 27 places to eat in Saint-Amand-les-Eaux,"Mid-range, French",€€-€€€,€9-€27,"Breakfast, Lunch, Dinner, Drinks",French,,,,N,N,"{""Mon"": [""12:00-14:30""], ""Tue"": [""12:00-14:30""], ""Wed"": [""12:00-14:30""], ""Thu"": [""12:00-14:30""], ""Fri"": [""12:00-14:30""], ""Sat"": [""12:00-14:30""], ""Sun"": [""12:00-15:00""]}",7.0,,7.0,4.0,133.0,All languages,133.0,,37.0,,16.0,10.0,4.0,4.0,4.0,,,,2015-07-20
g1080565-d19084192,Friterie la Chtite Famille,,,,,,"Place de la Gare, 62170 Saint-Josse France",50.46203,1.64949,Claimed,,#4 of 4 Restaurants in Saint-Josse,#4 of 5 places to eat in Saint-Josse,"Cheap Eats, French",€,€2-€9,"Lunch, Dinner",French,,,N,N,,"{""Mon"": [], ""Tue"": [], ""Wed"": [""11:30-14:00""], ""Thu"": [""11:30-14:00""], ""Fri"": [""11:30-14:00"", ""18:45-20:45""], ""Sat"": [""11:30-14:00"", ""18:45-20:45""], ""Sun"": [""11:30-14:00""]}",5.0,16.5,7.0,5.0,4.0,All languages,4.0,3.0,1.0,0.0,0.0,,,,,,,,2020-03-11
,Orient Express,,France,Hauts-de-France,Nord,Saint-Pol-sur-Mer,,51.02876,2.353357,Unclaimed,,#4 of 8 Restaurants in Saint-Pol-sur-Mer,,"French, Indian, African, Moroccan",,,,,,,N,,N,,,,,4.5,6.0,All languages,6.0,,2.0,0.0,0.0,0.0,,,,,,2011-11-01,2015-02-11
,Le Floral,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""Les-Sorinieres""]",,Pays de la Loire,Loire-Atlantique,Les-Sorinieres,"Rue du Bignon, 44840 Les-Sorinieres France",,-1.52654,Claimed,,,#5 of 8 places to eat in Les-Sorinieres,"Cheap Eats, French",€,,"Lunch, Breakfast",French,,"Reservations, Seating, Wheelchair Accessible, Table Service",N,N,,"{""Mon"": [""00:00-14:00""], ""Tue"": [""00:00-14:00""], ""Wed"": [""00:00-14:00""], ""Thu"": [""00:00-14:00""], ""Fri"": [""00:00-14:00""], ""Sat"": [""00:00-14:00""], ""Sun"": [""00:00-14:00""]}",7.0,98.0,,3.5,26.0,All languages,26.0,5.0,10.0,7.0,3.0,1.0,3.5,,,,,2014-09-05,2016-10-22
g1080570-d21360174,Le Bon'homme,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Ile de Noirmoutier"", ""La Gueriniere""]",,Pays de la Loire,Vendee,La Gueriniere,"165 rue Nationale, 85680 La Gueriniere, Ile de Noirmoutier France",,-2.21727,Unclaimed,,,,French,,,,French,,,,N,N,,,,,,,,,,,,,,,,,,,2021-07-16,2021-12-29
g1080574-d12320445,Le Joconde,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""Nantes"", ""La Chapelle-sur-Erdre""]",France,Pays de la Loire,Loire-Atlantique,La Chapelle-sur-Erdre,"44240 La Chapelle-sur-Erdre, Nantes France",,,Unclaimed,,#19 of 24 Restaurants in La Chapelle-sur-Erdre,,,€€-€€€,€5-€12,,French,,,N,N,N,,,,,5.0,,All languages,1.0,,0.0,0.0,,0.0,,,,,,2023-07-27,
g1080574-d17175334,La Bigoudène - Crêperie,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""Nantes"", ""La Chapelle-sur-Erdre""]",France,Pays de la Loire,Loire-Atlantique,La Chapelle-sur-Erdre,"5 rue Martin Luther King, 44240 La Chapelle-sur-Erdre, Nantes France",47.298637,-1.550508,Claimed,,,,"Cheap Eats, French, Healthy",€,,"Lunch, Dinner","French, Healthy",,"Reservations, Seating, Serves Alcohol, Table Service",N,N,N,,5.0,27.5,10.0,4.5,40.0,All languages,40.0,28.0,6.0,1.0,4.0,1.0,4.5,5.0,4.5,,,2019-03-21,2019-03-21
g1080574-d3874902,,,France,Pays de la Loire,Loire-Atlantique,,"23 rue Martin Luther King, 44240 La Chapelle-sur-Erdre, Nantes France",,-1.55133,Unclaimed,,#11 of 24 Restaurants in La Chapelle-sur-Erdre,#11 of 30 places to eat in La Chapelle-sur-Erdre,"Mid-range, Asian",€€-€€€,,,Asian,,"Seating, Takeout, Wheelchair Accessible, Table Service",N,N,N,,6.0,17.5,10.0,3.5,,,2.0,2.0,,0.0,0.0,0.0,4.0,4.0,3.0,,,,2021-02-01
g1080574-d8423819,A La Bonne Heure,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""Nantes"", ""La Chapelle-sur-Erdre""]",France,,Loire-Atlantique,La Chapelle-sur-Erdre,,47.28522,-1.55234,Unclaimed,,#24 of 24 Restaurants in La Chapelle-sur-Erdre,#24 of 30 places to eat in La Chapelle-sur-Erdre,"Cheap Eats, French",€,,,French,,"Seating, Highchairs Available, Wheelchair Accessible, Outdoor Seating, Serves Alcohol",N,N,,,,,12.0,2.5,101.0,,1.0,0.0,1.0,0.0,0.0,0.0,,2.5,2.5,,,2013-04-30,
g1080830-d13140697,La Marmite Gourmande,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Challans""]",,Pays de la Loire,Vendee,,"113 rue Pauline de Lezardiere, 85300 Challans France",46.835094,-1.888125,Claimed,,,#26 of 49 places to eat in Challans,"Mid-range, French",,€11-€30,Dinner,French,,,N,N,N,,,,,4.5,13.0,All languages,,10.0,2.0,0.0,,0.0,,,,,,2021-01-23,2022-02-16
g1080830-d17726035,Caillebotte,,France,Pays de la Loire,Vendee,Challans,"2 rue de la Redoute, 85300 Challans France",46.84602,-1.878596,,,#11 of 43 Restaurants in Challans,#11 of 49 places to eat in Challans,,,€9-€50,"Lunch, Dinner","French, European, Healthy",,,N,N,N,,6.0,30.0,10.0,4.5,48.0,,,,6.0,3.0,0.0,1.0,4.5,4.0,4.5,,,2020-11-10,2022-08-26
g1080830-d2180834,Au Petit Farphadet,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Challans""]",France,Pays de la Loire,Vendee,Challans,,46.843662,-1.874053,Claimed,"Certificate of Excellence 2017, Certificate of Excellence 2016",#13 of 43 Restaurants in Challans,#13 of 49 places to eat in Challans,"Mid-range, French, European",€€-€€€,,"Lunch, Dinner","French, European",,,N,N,,"{""Mon"": [""12:00-14:00""], ""Tue"": [""12:00-14:00""], ""Wed"": [""12:00-14:00"", ""19:15-21:00""], ""Thu"": [""12:00-14:00"", ""19:15-21:00""], ""Fri"": [""12:00-14:00"", ""19:15-21:30""], ""Sat"": [""12:00-14:00"", ""19:15-22:00""], ""Sun"": []}",6.0,20.5,10.0,4.0,123.0,English,3.0,1.0,1.0,1.0,0.0,0.0,4.5,4.0,4.0,,,2017-05-07,2021-01-26
,Au P'tit Bouchon,,France,Pays de la Loire,Vendee,,"5 rue Gallieni, 85300 Challans France",,,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",,#5 of 49 places to eat in Challans,"Cheap Eats, French, European",€,€11-€22,"Lunch, Dinner","French, European",,,N,,,"{""Mon"": [""11:00-15:00""], ""Tue"": [""07:00-15:00""], ""Wed"": [""11:00-15:00""], ""Thu"": [""11:00-15:00""], ""Fri"": [""09:00-15:00""], ""Sat"": [""11:00-15:00""], ""Sun"": []}",,30.0,6.0,4.5,,English,8.0,4.0,4.0,0.0,0.0,0.0,4.5,4.5,4.5,4.0,,2015-01-03,2015-08-05
g1080830-d5813677,Restaurant de la Noue,"[""Europe"", ""France"", ""Pays de la Loire"", ""Vendee"", ""Challans""]",France,Pays de la Loire,Vendee,Challans,"10 Place Victor Charbonnel, 85300 Challans France",46.8487,-1.87511,Claimed,,#34 of 43 Restaurants in Challans,#34 of 49 places to eat in Challans,Cheap Eats,€,,"Breakfast, Lunch",,,,,,N,"{""Mon"": [""06:30-17:00""], ""Tue"": [""06:30-17:00""], ""Wed"": [""06:30-17:00""], ""Thu"": [""06:30-17:00""], ""Fri"": [""06:30-17:00""], ""Sat"": [], ""Sun"": []}",5.0,52.5,5.0,4.5,8.0,All languages,8.0,5.0,3.0,0.0,,0.0,,,,,,2019-06-04,
g1080838-d8774602,Le Fief Aux Moines,"[""Europe"", ""France"", ""Pays de la Loire"", ""Maine et Loire"", ""Sevremoine"", ""Montfaucon-Montigne""]",France,Pays de la Loire,Maine et Loire,Montfaucon-Montigne,"13 Place de la Motte, 49230 Montfaucon-Montigne, Sevremoine France",47.09851,-1.1275,Unclaimed,,#1 of 1 Restaurant in Montfaucon-Montigne,,Gastropub,,,,Gastropub,,Reservations,N,,N,,,,,4.0,7.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,2016-06-03,
g1080861-d8685174,,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""Heric""]",France,Pays de la Loire,Loire-Atlantique,Heric,"12 Bout de Bois, 44810 Heric France",47.452076,-1.637647,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#1 of 6 Restaurants in Heric,#1 of 8 places to eat in Heric,"Mid-range, French, Barbecue, Grill",€€-€€€,,"Lunch, Dinner","French, Barbecue, Grill",,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",,N,N,,,,,4.0,,English,1.0,0.0,,0.0,0.0,0.0,4.0,,4.0,,,2020-07-10,2022-11-21
g1080864-d1534763,Le Panoramique de la Prée,"[""Europe"", ""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""La Plaine-sur-Mer""]",,Pays de la Loire,Loire-Atlantique,La Plaine-sur-Mer,"66 boulevard de la Pree, 44770 La Plaine-sur-Mer France",47.14525,,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#3 of 11 Restaurants in La Plaine-sur-Mer,#3 of 11 places to eat in La Plaine-sur-Mer,"Fine Dining, French, Seafood, Vegetarian Friendly",€€€€,,,"French, Seafood",Vegetarian Friendly,,Y,N,N,"{""Mon"": [], ""Tue"": [""12:00-13:30"", ""19:00-21:00""], ""Wed"": [""12:00-13:30"", ""19:00-21:00""], ""Thu"": [""12:00-13:30"", ""19:00-21:00""], ""Fri"": [""12:00-13:30"", ""19:00-21:00""], ""Sat"": [""12:00-14:00"", ""19:00-21:00""], ""Sun"": [""12:00-14:00""]}",,,11.0,,,English,10.0,5.0,5.0,0.0,0.0,0.0,4.5,,4.0,,,2018-04-11,2020-05-05
