id,name,address,city,phone,type,avg_rating,total_reviews_count,first_review_date,last_review_date
19,grill on the alley,9560 dayton way,los angeles,,american,4.0,62.0,2011-11-04,
20,grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),3.9,11.0,2020-07-14,2023-03-03
21,restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian,4.5,8.0,2018-02-08,2019-08-16
22,katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese,4.2,12.0,2020-12-11,2023-10-02
23,l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french,,50.0,2016-09-27,2020-09-19
24,l'orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,french (classic),4.8,9.0,,2012-06-27
25,le chardonnay,8284 melrose ave.,los angeles,213/655-8880,french,3.7,13.0,2020-11-08,
26,le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,4.4,30.0,2015-07-01,2018-12-03
27,locanda veneta,3rd st.,los angeles,310/274-1893,italian,,40.0,2018-03-19,2019-11-16
28,locanda veneta,,los angeles,310-274-1893,italian,4.3,71.0,2014-07-30,2016-07-24
29,matsuhisa,129 n. la cienega blvd.,beverly hills,310/659-9639,asian,4.1,-4.0,2015-12-07,2020-05-19
30,matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood,3.6,172.0,2015-11-15,2017-09-27
31,the palm,9001 santa monica blvd.,los angeles,310/550-8811,american,3.9,20.0,,2016-06-08
32,palm  the (los angeles),,w. hollywood,310-550-8811,steakhouses,3.8,79.0,2016-08-28,2017-06-22
33,patina,5955 melrose ave.,los angeles,213/467-1108,californian,4.3,2.0,2018-10-21,2023-06-09
34,patina,5955 melrose ave.,los angeles,213-467-1108,californian,4.8,38.0,2010-03-30,
35,philippe's the original,1001 n. alameda st.,los angeles,213/628-3781,american,3.4,21.0,2011-07-28,2015-05-22
36,philippe the original,1001 n. alameda st.,chinatown,213-628-3781,cafeterias,4.9,96.0,2020-02-09,2023-02-24
37,pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french,4.4,,2016-11-01,2018-08-31
38,pinot bistro,12969 ventura blvd.,studio city,,french bistro,4.5,66.0,2021-09-07,2023-06-09
39,rex il ristorante,617 s. olive st.,los angeles,213/627-2300,italian,3.8,333.0,2017-04-04,2020-10-13
40,rex il ristorante,617 s. olive st.,los angeles,213-627-2300,nuova cucina italian,4.5,7.0,2017-11-03,2022-02-23
41,spago,1114 horn ave.,los angeles,310/652-4025,californian,2.8,57.0,2020-10-15,2021-07-01
42,spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian,4.1,29.0,2017-12-04,2022-02-28
43,valentino,3115 pico blvd.,santa monica,310/829-4313,italian,4.5,52.0,2013-12-15,2018-02-11
44,valentino,3115 pico blvd.,santa monica,310-829-4313,italian,4.7,15.0,2016-05-03,2016-12-14
45,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,818/585-0855,asian,4.6,91.0,2012-10-29,2013-06-10
46,yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,4.6,86.0,2014-01-05,2017-07-05
47,21 club,21 w. 52nd st.,new york,212/582-7200,american,4.3,27.0,2018-03-01,2022-05-21
48,21 club,21 w. 52nd st.,new york city,212-582-7200,american (new),,13.0,,2013-10-20
49,aquavit,13 w. 54th st.,new york,212/307-7311,continental,4.7,46.0,2018-01-24,2021-04-17
50,aquavit,13 w. 54th st.,new york city,212-307-7311,,4.4,55.0,2017-01-03,2022-01-01
51,aureole,34 e. 61st st.,new york,212/ 319-1660,american,4.3,56.0,2013-09-13,2015-05-15
52,aureole,34 e. 61st st.,,212-319-1660,american (new),4.2,53.0,,2011-09-22
53,cafe lalo,201 w. 83rd st.,new york,212/496-6031,coffee bar,3.5,11.0,2018-06-16,2023-05-30
54,cafe lalo,201 w. 83rd st.,new york city,212-496-6031,coffeehouses,4.1,54.0,2019-11-23,2021-05-09
55,cafe des artistes,1 w. 67th st.,new york,212/877-3500,continental,3.9,37.0,,2021-03-01
56,cafe des artistes,1 w. 67th st.,,212-877-3500,french (classic),4.4,132.0,2015-01-19,
57,carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,italian,4.3,0.0,2017-11-04,2020-06-30
58,carmine's,2450 broadway,new york city,212-362-2200,italian,4.8,8.0,2014-12-23,2016-05-18
59,carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,212/757-2245,delicatessen,3.7,35.0,2014-04-20,2017-09-19
60,carnegie deli,854 seventh ave.,new york city,212-757-2245,delis,4.9,53.0,,
61,chanterelle,2 harrison st.  near hudson st.,new york,212/966-6960,american,2.8,,2012-07-13,2013-08-07
62,chanterelle,2 harrison st.,new york city,212-966-6960,french (new),4.8,74.0,2021-08-19,2024-01-29
63,daniel,20 e. 76th st.,new york,212/288-0033,,,,2017-12-30,2018-05-11
64,daniel,20 e. 76th st.,new york city,212-288-0033,french (new),,29.0,2012-02-06,2013-04-07
65,dawat,210 e. 58th st.,new york,212/355-7555,asian,4.6,35.0,2020-05-19,2025-04-25
66,dawat,210 e. 58th st.,new york city,212-355-7555,indian,4.4,,2011-10-26,2014-05-21
67,felidia,243 e. 58th st.,new york,212/758-1479,italian,4.1,-2.0,,2020-04-07
68,felidia,243 e. 58th st.,new york city,212-758-1479,italian,,66.0,2011-12-27,2016-06-08
69,four seasons grill room,99 e. 52nd st.,new york,212/754-9494,american,4.6,3.0,2014-05-03,2017-12-04
70,four seasons,99 e. 52nd st.,new york city,212-754-9494,american (new),3.5,33.0,2017-11-26,2021-11-17
71,gotham bar & grill,12 e. 12th st.,,212/620-4020,american,4.0,48.0,2021-12-28,2025-07-28
72,gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new),4.3,7.0,2021-11-26,2024-06-08
73,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,212/477-0777,american,4.8,13.0,2020-09-30,2023-12-09
74,gramercy tavern,42 e. 20th st.,new york city,212-477-0777,american (new),4.5,50.0,2012-10-29,2014-04-29
75,island spice,402 w. 44th st.,new york,212/765-1737,tel caribbean,3.5,35.0,2011-02-14,2015-07-31
76,island spice,402 w. 44th st.,new york city,212-765-1737,caribbean,4.1,109.0,2020-11-13,2021-10-31
77,jo jo,160 e. 64th st.,new york,212/223-5656,american,2.7,92.0,2021-01-29,2025-07-03
78,jo jo,160 e. 64th st.,new york city,212-223-5656,french bistro,4.5,132.0,2013-05-06,2017-09-28
79,la caravelle,33 w. 55th st.,new york,212/586-4252,french,3.9,9.0,2010-03-26,2011-01-05
80,la caravelle,33 w. 55th st.,new york city,212-586-4252,french (classic),3.8,95.0,2017-10-10,2021-05-06
81,la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,212/688-6525,french,4.4,8.0,,2015-11-10
82,la cote basque,60 w. 55th st.,new york city,212-688-6525,french (classic),4.2,8.0,2010-06-27,
83,le bernardin,155 w. 51st st.,new york,212/489-1515,french,3.9,21.0,2021-03-31,2022-12-31
84,,155 w. 51st st.,new york city,212-489-1515,seafood,4.4,11.0,,2020-05-08
85,les celebrites,160 central park s,new york,212/484-5113,french,3.8,79.0,2011-05-07,2013-12-12
86,les celebrites,155 w. 58th st.,new york city,212-484-5113,french (classic),4.6,6.0,,2018-07-14
87,lespinasse,2 e. 55th st.,new york,212/339-6719,american,,95.0,2014-06-07,2015-09-27
88,lespinasse (new york city),2 e. 55th st.,new york city,212-339-6719,asian,4.2,21.0,2016-06-08,2019-11-15
89,lutece,249 e. 50th st.,new york,212/752-2225,french,,-15.0,2020-10-14,2023-02-08
90,lutece,249 e. 50th st.,new york city,212-752-2225,french (classic),4.2,43.0,2012-11-08,2013-12-31
91,manhattan ocean club,57 w. 58th st.,new york,212/ 371-7777,seafood,4.3,64.0,2017-10-04,2021-10-07
92,manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,seafood,4.4,3.0,2019-12-11,2020-08-13
93,march,405 e. 58th st.,new york,212/754-6272,american,4.7,87.0,2015-02-01,
94,,405 e. 58th st.,new york city,212-754-6272,american (new),4.8,27.0,2021-08-23,2024-01-05
95,mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,3.9,,2015-05-19,2015-08-27
96,mesa grill,102 fifth ave.,new york city,212-807-7400,southwestern,3.4,25.0,2015-07-06,2017-06-30
97,mi cocina,57 jane st.  off hudson st.,new york,212/627-8273,mexican,4.0,,2020-08-11,2025-03-01
98,,57 jane st.,new york city,212-627-8273,mexican,,18.0,2017-08-19,2022-05-04
99,montrachet,239 w. broadway  between walker and white sts.,new york,212/ 219-2777,french,3.8,44.0,2020-06-04,2024-10-16
100,montrachet,239 w. broadway,new york city,212-219-2777,french bistro,4.1,101.0,2019-06-27,2021-02-27
101,oceana,55 e. 54th st.,new york,212/759-5941,seafood,4.2,35.0,,
102,oceana,55 e. 54th st.,new york city,212-759-5941,seafood,4.0,10.0,2012-11-24,2016-12-25
103,park avenue cafe,100 e. 63rd st.,new york,212/644-1900,american,4.3,,,2016-09-14
104,park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new),4.8,22.0,2020-05-16,2024-02-19
105,petrossian,182 w. 58th st.,new york,212/245-2214,french,3.0,,2017-05-24,2018-01-22
106,petrossian,182 w. 58th st.,new york city,212-245-2214,russian,3.7,14.0,2013-05-13,2016-09-22
107,picholine,35 w. 64th st.,new york,212/724-8585,mediterranean,4.2,28.0,2013-12-05,2016-11-21
108,picholine,35 w. 64th st.,new york city,212-724-8585,mediterranean,4.5,53.0,2019-04-24,2023-12-01
109,pisces,95 ave. a at 6th st.,,212/260-6660,seafood,,120.0,2012-02-20,2012-09-19
110,pisces,95 ave. a,new york city,212-260-6660,seafood,4.5,3.0,2011-05-07,2013-06-07
111,rainbow room,30 rockefeller plaza,new york,212/632-5000,or 212/632-5100 american,3.8,12.0,2019-03-08,2024-02-16
112,rainbow room,30 rockefeller plaza,,212-632-5000,american (new),4.5,17.0,2013-06-17,2015-06-16
113,river cafe,1 water st. at the east river,brooklyn,718/522-5200,american,4.1,100.0,2019-03-09,2022-07-02
114,,1 water st.,brooklyn,718-522-5200,american (new),3.6,,2016-05-27,2017-04-10
115,san domenico,240 central park s,new york,212/265-5959,italian,4.5,21.0,2021-12-22,2025-08-20
116,san domenico,240 central park s.,new york city,212-265-5959,italian,4.6,29.0,2016-04-19,2017-09-25
117,second avenue deli,156 2nd ave. at 10th st.,new york,212/677-0606,delicatessen,4.4,,2020-05-30,2023-04-22
118,second avenue deli,156 second ave.,new york city,212-677-0606,,4.8,16.0,2020-03-16,2024-08-11
119,seryna,11 e. 53rd st.,new york,212/980-9393,asian,4.2,102.0,2012-07-18,2015-11-16
120,seryna,11 e. 53rd st.,new york city,212-980-9393,japanese,4.4,,,2024-05-14
121,shun lee west,43 w. 65th st.,new york,212/371-8844,asian,3.9,44.0,2018-12-13,2019-12-19
122,shun lee palace,155 e. 55th st.,new york city,212-371-8844,chinese,4.5,148.0,2011-04-15,2013-01-16
123,sign of the dove,1110 3rd ave. at 65th st.,new york,212/861-8080,american,4.3,1.0,2010-01-27,2014-04-30
124,sign of the dove,1110 third ave.,new york city,212-861-8080,american (new),4.6,220.0,2013-04-04,2014-05-26
125,smith & wollensky,201 e. 49th st.,new york,212/753-1530,american,3.7,260.0,,2013-07-03
126,smith & wollensky,797 third ave.,new york city,212-753-1530,steakhouses,4.6,10.0,2014-04-17,2016-10-03
127,tavern on the green,in central park at 67th st.,new york,212/873-3200,american,4.9,20.0,2023-08-13,2021-12-16
128,tavern on the green,central park west,new york city,212-873-3200,american (new),2.8,33.0,,2019-05-09
129,uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,212/315-1726,,,7.0,2010-04-15,2012-02-24
130,,747 ninth ave.,new york city,212-245-7992,greek,4.8,56.0,2015-12-05,
131,,21 e. 16th st.,new york,212/243-4020,american,3.9,14.0,2012-08-18,2015-04-25
132,union square cafe,21 e. 16th st.,new york city,212-243-4020,american (new),4.0,59.0,2020-04-10,2024-01-30
133,virgil's,152 w. 44th st.,new york,,american,,46.0,2011-02-01,2015-06-01
134,virgil's real bbq,152 w. 44th st.,new york city,212-921-9494,bbq,4.0,39.0,2019-04-01,2022-06-04
135,,3200 las vegas blvd. s,las vegas,702/733-8899,asian,4.5,10.0,2015-05-09,2018-09-08
136,chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,4.8,27.0,,2014-03-06
137,coyote cafe,3799 las vegas blvd. s,las vegas,702/891-7349,southwestern,4.9,91.0,2018-01-29,2019-06-26
138,coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,702-891-7349,southwestern,3.6,114.0,2015-06-18,
139,le montrachet,3000 w. paradise rd.,las vegas,702/732-5111,continental,4.1,7.0,2019-04-05,2021-09-19
140,le montrachet bistro,3000 paradise rd.,las vegas,702-732-5651,french bistro,4.3,5.0,2017-06-02,2020-08-07
141,palace court,3570 las vegas blvd. s,las vegas,702/731-7547,continental,4.4,31.0,2019-06-13,2022-09-14
142,palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,french (new),4.7,7.0,2015-07-11,2016-05-11
143,second street grille,200 e. fremont st.,las vegas,702/385-3232,seafood,4.2,-19.0,2010-02-04,2014-01-05
144,second street grill,200 e. fremont st.,las vegas,702-385-6277,pacific rim,3.9,118.0,2011-07-27,2013-06-09
145,steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses,4.0,80.0,2015-07-05,2019-11-25
146,,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses,3.7,28.0,2014-10-09,2018-05-31
147,tillerman,2245 e. flamingo rd.,las vegas,702/731-4036,seafood,3.7,7.0,2019-07-14,2024-06-11
148,tillerman  the,,las vegas,702-731-4036,steakhouses,4.4,2.0,2014-12-10,2018-02-15
149,abruzzi,2355 peachtree rd.  peachtree battle shopping center,atlanta,404/261-8186,italian,4.8,69.0,2020-04-28,2022-12-30
150,abruzzi,2355 peachtree rd. ne,atlanta,404-261-8186,italian,4.8,63.0,2012-04-02,2013-04-04
151,bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international,4.7,23.0,2014-08-14,2016-08-28
152,bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,4.2,64.0,2019-01-28,2023-05-17
153,bone's,3130 piedmont road,atlanta,404/237-2663,american,4.1,,2011-06-28,2013-06-12
154,bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,steakhouses,4.7,5.0,2014-03-14,2013-11-09
155,brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french,4.9,17.0,2019-01-09,2020-04-23
156,brasserie le coze,3393 peachtree rd.,atlanta,404-266-1440,french bistro,4.7,72.0,2017-01-25,2020-01-28
157,buckhead diner,3073 piedmont road,atlanta,404/262-3336,american,3.7,40.0,2019-05-04,2022-07-06
158,buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,american (new),4.4,108.0,2016-03-10,2021-02-07
159,ciboulette,1529 piedmont ave.,atlanta,404/874-7600,french,4.1,29.0,,2024-12-24
160,ciboulette restaurant,1529 piedmont ave.,atlanta,404-874-7600,french (new),4.6,149.0,,2023-03-23
161,delectables,1 margaret mitchell sq.,atlanta,404/681-2909,american,4.7,100.0,2021-09-11,2024-07-02
162,,1 margaret mitchell sq.,,404-681-2909,cafeterias,4.3,114.0,2011-06-19,2015-06-25
163,georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,404/352-3517,,4.8,59.0,,2017-06-01
164,georgia grille,2290 peachtree rd.,atlanta,,southwestern,4.7,6.0,2011-05-16,2014-05-18
165,hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233-7673,international,4.8,21.0,,2015-02-27
166,hedgerose heights inn  the,490 e. paces ferry rd. ne,,404-233-7673,continental,3.4,194.0,2013-08-09,2017-07-14
167,heera of india,595 piedmont ave.  rio shopping mall,atlanta,404/876-4408,asian,4.4,18.0,,2021-10-08
168,heera of india,595 piedmont ave.,atlanta,404-876-4408,indian,3.4,,2015-03-06,2018-06-24
169,indigo coastal grill,1397 n. highland ave.,atlanta,404/876-0676,caribbean,4.3,134.0,2020-05-18,2023-09-09
170,indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic,4.8,-17.0,2013-08-01,
171,la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,404/231-1368,italian,,94.0,2017-05-29,2020-05-04
172,la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian,3.6,101.0,2019-02-28,2020-05-11
173,mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,southern,4.5,,2021-10-06,2023-03-30
174,mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,southern/soul,3.9,89.0,,2016-09-02
175,nikolai's roof,255 courtland st.  at harris st.,atlanta,404/221-6362,continental,3.8,35.0,2018-10-21,2021-12-03
176,nikolai's roof,255 courtland st.,atlanta,404-221-6362,continental,4.0,87.0,2011-01-07,2012-04-08
177,pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261-3662,international,,,2016-07-09,2020-11-30
178,pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american (new),4.2,130.0,2014-12-19,2019-11-13
179,cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,ext 6108 international,4.8,37.0,2021-07-03,2024-08-29
180,ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),4.7,90.0,,2020-06-24
181,dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,international,4.2,43.0,2021-02-16,
182,ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),4.1,7.0,2020-03-17,2021-06-14
183,restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,404/659-0400,continental,4.1,185.0,,2017-02-18
184,ritz-carlton restaurant,181 peachtree st.,atlanta,404-659-0400,french (classic),4.9,28.0,,2023-02-07
185,toulouse,b peachtree rd.,atlanta,404/351-9533,french,3.9,19.0,2013-01-02,2010-05-14
186,toulouse,293-b peachtree rd.,atlanta,404-351-9533,french (new),,5.0,2016-09-11,2017-12-21
187,veni vidi vici,41 14th st.,atlanta,404/875-8424,italian,4.3,36.0,2010-07-27,2011-01-16
188,veni vidi vici,41 14th st.,atlanta,404-875-8424,italian,4.9,33.0,2018-09-10,2020-07-18
189,alain rondelli,126 clement st.,san francisco,415/387-0408,french,,,2021-08-08,2024-12-26
190,alain rondelli,126 clement st.,san francisco,415-387-0408,french (new),3.4,81.0,2018-03-06,2021-10-08
191,aqua,252 california st.,san francisco,415/956-9662,seafood,,11.0,2020-01-30,2021-04-04
192,aqua,,,415-956-9662,american (new),3.0,31.0,,2013-09-03
193,boulevard,1 mission st.,san francisco,415/543-6084,american,3.7,54.0,2021-12-05,2025-06-16
194,boulevard,1 mission st.,san francisco,415-543-6084,american (new),4.2,156.0,2016-08-10,2017-06-21
195,cafe claude,7 claude la.,san francisco,415/392-3505,french,4.3,3.0,2018-02-04,
196,cafe claude,7 claude ln.,san francisco,415-392-3505,french bistro,2.9,26.0,2019-04-01,2021-09-20
197,campton place,340 stockton st.,san francisco,415/955-5555,american,4.3,14.0,2017-09-04,2020-07-24
198,campton place,,san francisco,415-955-5555,american (new),4.0,47.0,2013-10-21,2015-01-31
199,chez michel,804 northpoint,san francisco,415/775-7036,french,3.4,44.0,2017-05-03,2018-06-16
200,chez michel,,san francisco,415-775-7036,californian,,78.0,2017-11-06,2019-02-02
201,fleur de lys,777 sutter st.,san francisco,415/673-7779,french,4.4,41.0,2020-04-15,2022-01-20
202,fleur de lys,777 sutter st.,san francisco,415-673-7779,french (new),4.9,53.0,,2015-11-27
203,fringale,570 4th st.,san francisco,415/543-0573,french,4.0,47.0,2016-01-09,2016-02-29
204,fringale,570 fourth st.,san francisco,415-543-0573,french bistro,3.9,,2016-01-15,2017-12-09
205,hawthorne lane,22 hawthorne st.,,415/777-9779,american,4.5,16.0,2011-05-17,2011-07-21
206,hawthorne lane,22 hawthorne st.,san francisco,415-777-9779,californian,4.3,,2011-01-30,2012-09-22
207,khan toke thai house,5937 geary blvd.,san francisco,415/668-6654,asian,4.6,,2010-03-31,2013-03-07
208,khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,thai,4.1,7.0,2017-12-30,2018-03-25
209,la folie,2316 polk st.,san francisco,415/776-5577,french,4.7,10.0,2015-01-10,2018-02-21
210,la folie,2316 polk st.,san francisco,415-776-5577,french (new),3.7,1.0,2020-05-22,2023-07-11
211,lulu,816 folsom st.,san francisco,415/495-5775,mediterranean,4.4,41.0,2018-06-05,2021-04-29
212,lulu restaurant-bis-cafe,,san francisco,415-495-5775,mediterranean,4.4,85.0,2011-09-12,2014-11-09
213,masa's,648 bush st.,san francisco,415/989-7154,french,3.2,77.0,2011-03-15,2015-04-05
214,masa's,648 bush st.,san francisco,415-989-7154,french (new),3.9,47.0,2014-05-24,2014-10-28
215,mifune japan center  kintetsu building,1737 post st.,san francisco,415/922-0337,asian,2.8,49.0,2021-01-19,2021-12-18
216,mifune,1737 post st.,san francisco,415-922-0337,japanese,4.3,36.0,,2012-03-23
217,plumpjack cafe,3201 fillmore st.,san francisco,415/563-4755,mediterranean,4.3,44.0,2012-04-01,2015-09-18
218,plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,,4.7,69.0,2010-05-10,2014-09-22
219,postrio,545 post st.,san francisco,415/776-7825,american,4.6,,2014-12-19,2019-07-25
220,postrio,545 post st.,san francisco,415-776-7825,californian,4.3,139.0,2021-11-16,2024-10-25
221,ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,american,4.0,104.0,2018-03-16,
222,ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,french (new),3.7,142.0,,2018-01-10
223,rose pistola,532 columbus ave.,,415/399-0499,italian,4.2,8.0,2011-09-25,2012-02-09
224,rose pistola,532 columbus ave.,san francisco,415-399-0499,italian,4.6,105.0,2014-04-08,2016-08-19
225,adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,italian,4.7,153.0,2016-04-18,
226,barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,4.3,4.0,2013-04-19,2014-05-27
227,beaurivage,26025 pacific coast hwy.,malibu,310/456-5733,french,3.9,23.0,2018-06-18,2022-04-26
228,bistro garden,176 n. canon dr.,los angeles,310/550-3900,californian,4.4,85.0,2021-10-05,2025-10-31
229,border grill,4th st.,los angeles,310/451-1655,mexican,4.3,18.0,,2014-01-14
230,broadway deli,3rd st. promenade,santa monica,310/451-0616,american,4.6,20.0,2013-01-10,2017-08-07
231,ca'brea,346 s. la brea ave.,los angeles,213/938-2863,italian,4.0,90.0,,2012-02-15
232,ca'del sol,4100 cahuenga blvd.,,818/985-4669,italian,,88.0,2018-09-16,2023-04-07
233,cafe pinot,700 w. fifth st.,los angeles,213/239-6500,californian,4.2,7.0,,2019-05-25
234,california pizza kitchen,207 s. beverly dr.,los angeles,310/275-1101,californian,4.3,,2013-05-28,
235,canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american,4.2,,2012-08-18,2015-11-28
236,cava,3rd st.,los angeles,213/658-8898,mediterranean,4.4,9.0,2010-11-05,2012-06-14
237,cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,caribbean,3.4,19.0,,2019-09-22
238,chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,asian,4.1,2.0,2018-03-14,2019-01-26
239,clearwater cafe,168 w. colorado blvd.,los angeles,818/356-0959,health food,4.2,20.0,2012-10-27,2014-02-08
240,dining room,9500 wilshire blvd.,los angeles,310/275-5200,californian,4.9,,2010-01-08,2011-08-12
241,dive!,10250 santa monica blvd.,los angeles,310/788-,dive american,4.6,24.0,2015-09-06,2016-09-28
242,drago,2628 wilshire blvd.,santa monica,310/828-1585,italian,0.0,91.0,2018-02-09,2019-10-29
243,drai's,730 n. la cienega blvd.,los angeles,310/358-8585,french,4.8,93.0,2017-03-08,2014-02-21
244,dynasty room,930 hilgard ave.,los angeles,310/208-8765,continental,,50.0,2013-01-02,2016-03-13
245,eclipse,8800 melrose ave.,los angeles,310/724-5959,californian,4.6,22.0,2011-11-08,
246,ed debevic's,134 n. la cienega,los angeles,310/659-1952,american,4.7,3.0,2018-12-15,2019-12-20
247,el cholo,1121 s. western ave.,los angeles,213/734-2773,mexican,4.9,9.0,2020-05-04,2021-06-01
248,,2424 main st.,santa monica,310/392-3901,american,4.3,89.0,2019-03-28,2023-11-02
249,gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,american,4.8,5.0,2016-03-21,2017-07-15
250,hard rock cafe,8600 beverly blvd.,los angeles,310/276-7605,american,5.5,3.0,2018-09-09,2019-04-12
251,harry's bar & american grill,2020 ave. of the stars,los angeles,310/277-2333,italian,4.6,30.0,2014-10-06,2017-01-27
252,il fornaio cucina italiana,301 n. beverly dr.,los angeles,310/550-8330,italian,4.4,111.0,2010-04-18,2010-05-30
253,jack sprat's grill,10668 w. pico blvd.,los angeles,310/837-6662,,4.5,68.0,2014-05-31,2016-03-06
254,jackson's farm,439 n. beverly drive,los angeles,310/273-5578,californian,4.0,104.0,2018-06-12,2022-09-23
255,jimmy's,201 moreno dr.,los angeles,310/552-2394,continental,4.8,26.0,,2019-03-01
256,joss,9255 sunset blvd.,los angeles,310/276-1886,asian,4.6,39.0,2021-11-18,2025-06-03
257,le colonial,8783 beverly blvd.,los angeles,310/289-0660,asian,4.4,32.0,2021-12-21,2024-06-17
258,le dome,8720 sunset blvd.,los angeles,310/659-6919,french,4.2,70.0,2012-11-29,2014-09-27
