genres,keywords,original_language,original_title
Adventure Fantasy Family,magic dying and death broom sorcerer's apprentice school of witchcraft,en,Harry Potter and the Goblet of Fire
Fantasy Action,flying alcohol love of one's life forbidden love lovers,en,Hancock
DRAMA HORROr Action Thriller Science Fiction,saving the world lost civililisation post-apocalyptic Ddystopia matter of life and death,en,I Am Legend
Adventure Comedy Family Fantasy,london england father son relationship chocolate factory worker based on novel,en,Charlie and the Chocolate Factory
Animation Comedy Family Fantasy,paris brother brother relationship expensive restaurant river cook,en,Ratatouille
Aäction Crime Drama,himalaya martial arts dc comics crime fighter secret identity,en,Batman Begins
Family Animation,africa jealousy dance hunger lion,en,Madagascar: Escape 2 Africa
Mystery Drama Horror,nurse sea beach boy pregnant,fr,Ã‰volution
Comedy Animation,3d,es,Don Gato: El inicio de la pandilla
Action Adventure Fantasy,monkey king,zh,è¥¿æ¸¸è®°ä¹‹å­™æ‚Ÿç©ºä¸‰æ‰“ç™½éª¨ç²¾
Drama,paris prostitute loss of lover amnesia bodily disabled person,fr,Un long dimanche de fianÃ§ailles
Adventure Drama Action History War,schizophrenia france rape siege biography,fr,Joan of Arc
Horror,gore slasher single mother tooth fairy woodchipper,de,The Tooth Fairy
Drama,based on novel war of independence period drama woman director partition,hi,1947: Earth
Drama Science Fiction Adventure Mystery,1970s loss of sense of reality extraterrestrial technology subconsciousness russian,ru,Ð¡Ð¾Ð»ÑÑ€Ð¸Ñ
Action Drama Fantasy,poison china martial arts swordplay fight,zh,æ»¿åŸŽç›¡å¸¶é»ƒé‡‘ç”²
Drama Adventure Action History,countryside loss of lover right and justice patriot,zh,è‹±é›„
Action Comedy Crime,unemployment contortionist human cannnonball,fr,Micmacs Ã  tire-larigot
Adventure Comedy Animation,animation evolution humanity,fr,Pourquoi j'ai pas mangÃ© mon pÃ¨re
Comedy Romance,paris love triangle ghost train sex-shop shyness,fr,Le fabuleux destin d'AmÃ©lie Poulain
Action Drama History,assassin general dynasty brother blood brother,zh,æŠ•åç‹€
Action Science Fiction Drama,father son relationship child labour brothel winter allegory,ko,Snowpiercer
Adventure Animation Comedy Family Fantasy,monster cgi 3d paris france,fr,Un monstre Ã  Paris
Action Adventure War History,kingdom war bollywood medieval india ancient india,te,Baahubali: The Beginning
Adventure Drama Act1on,flamming arrow chinese history strategy carier pigeon spear throwing,zh,Chi bi
Action Drama History,martial arts kung fu biography kung fu master,zh,ä¸€ä»£å®—å¸«
Action Fantasy Science Fiction Thriller,based on novel brother sister relationship sword fight spaceship strugatsky,ru,Obitaemyy Ostrov
Drama Comedy,autism based on article,de,Isn't She Great
Action Drama HistARO,biography,cn,è‘‰å•3
Comedy Drama,american football country house motorboat male female relationship thirty something,fr,Les petits mouchoirs
Family Adventure Animation,cat surrealism cartoon cat,fr,La vÃ©ritable histoire du Chat BottÃ©
Family Animation,russia space mission space outer space dog,ru,Ð‘ÐµÐ»ÐºÐ° Ð¸ Ð¡Ñ‚Ñ€ÐµÐ»ÐºÐ°. Ð—Ð²Ñ‘Ð·Ð´Ð½Ñ‹Ðµ ÑÐ¾Ð±Ð°ÐºÐ¸
Crime Action Thriller,martial arts kung fu serial killer,cn,ä¸€å€‹äººçš„æ­¦æž—
Fantasy Adventure Animation Family,witch parents kids relationship magic twilight darkness,ja,åƒã¨åƒå°‹ã®ç¥žéš ã—
Action Crime,robbery street war gun battle rogue cop,zh,é¢¨æš´
History,mongolia genghis khan,ru,ÐœÐ¾Ð½Ð³Ð¾Ð»
Crime Drama Mystery,germany child abuse pastor propaganda children,de,Das weisse Band
Action Animation Science Fiction,paris japanese identity underworld monopoly,fr,Renaissance
Animation Family,destroy future world supremacy best friend dragon,fr,Chasseurs de dragons
Fantasy Drama War,spain resistance servant anti hero fairy,es,El laberinto del fauno
Action Adventure Drama Romance,TV MOVIE,sv,Arn: Tempelriddaren
Comedy,clock tower jealousy cheating provence lie,fr,Bienvenue chez les ch'tis
Drama,writing lover (female) psychological stress dying and death editor-in-chief,fr,Le scaphandre et le papillon
Drama Romance,whiskey experimental film wallet cult director,fr,Les herbes folles
Drama History,vatican pope concentration camp holocaust schutzstaffel,fr,Amen.
History Action,martial arts sword fight wuxia,zh,å‰‘é›¨
Drama History War,berlin poison dictator clerk ideology,de,Der Untergang
Drama,brother brother relationship paraplegic intensive care ladykiller wheelchair,es,Mar adentro
Drama Romance,paris city portrait jazz subway new love,fr,"Paris, je t'aime"
History Drama War Action,"korea fictionalized history operation ""trudy jackson"" general douglas macarthur operation x-ray",ko,ì¸ì²œìƒë¥™ìž‘ì „
Adventure Drama,stone age cavemen prehistoric adventure prehistoric times prehistoric man,xx,La Guerre du feu
Action Adventure Drama History War,archaeologist korean war north korea south korea air raid,ko,íƒœê·¹ê¸° íœ˜ë‚ ë¦¬ë©°
Animation Comedy Drama Family,mouse musician friendship prejudice bear,fr,Ernest et CÃ©lestine
Action Drama History War Adventure,unemployment contortionist human cannnonball,de,Das Boot
Adventure Drama Action Romance,martial arts swordplay government rebellion dagger,zh,åé¢åŸ‹ä¼
Horror Drama Science Fiction,river mobile phone bravery archer daughter,ko,ê´´ë¬¼
Comedy Drama,alcohol rome vatican based on novel birthday,it,La grande bellezza
Fantasy Drama Science Fiction Romance,free love hotel lovesickness sexuality kung fu,zh,2046
Crime Drama Thriller,brother brother relationship assassination culture clash war on drugs yakuza,ja,Brother
Comedy Drama Music,deafness music coming of age teenage girl singing,fr,La Famille BÃ©lier
Drama Romance,adultery restaurant textile industry male friendship bourgeoisie,it,Io sono l'amore
Actione Comendian,martial arts stadium champion shaolin steel helmet,cn,å°‘æž—è¶³çƒ
War History Drama,mexican,es,Cinco de Mayo: La Batalla
Drama Romance Comedy,horse snow storm icelandic,is,Hross Ã­ oss
Action Adventure Comedy Western,gunslinger gun,ko,"ì¢‹ì€ ë†ˆ, ë‚˜ìœ ë†ˆ, ì´ìƒí•œ ë†ˆ"
Drama Romance,nurse music teacher aging daughter music,fr,Amour
Science Fiction Animation,saving the world total destruction megacity street gang underground,ja,ã‚¢ã‚­ãƒ©
Drama,quebec sport ice hockey hockey player montreal canadiens,fr,Maurice Richard
Comedy Romance,hong kong macau woman director,zh,éžå¸¸å¹¸è¿
Crime Action Comedy Thriller,new york martial arts supermarket gang war disabled child,cn,ç´…ç•ªå€
Comedy Drama,dominatrix bdsm,ja,R100
Drama,new delhi india students' movement war of independence student celebration,hi,Rang De Basanti
Music Documentary,woman director,fr,They Will Have to Kill Us First
