Book-Title,Book-Author,Publisher
Deadly Doses: A Writer's Guide to Poisons (Howdunit Series),Serita Deborah Stevens,Writer's Digest Books
Richard Scarry: Camping Out (The Busy World of Richard Scarry),Richard Scarry,Simon Spotlight
The First Time Ever: Love Stories by Naiad Press Authors,Barbara Grier,Naiad Pr
Green Mansions: A Romance of the Tropical Forest (Dover Books on Literature and Drama),W. H. Hudson,Dover Publications
"Naughty Thoughts (Harlequin Temptation, No 354)",Dawn Carroll,Harlequin
Petals on the River,Kathleen E. Woodiwiss,GuildAmerica Books
"I, Vampire",Jean Marie Stine,Longmeadow Press
"Contract Killer: The Explosive Story of the Mafia's Most Notorious Hitman Donald \Tony the Greek\"" Frankos""",William Hoffman,Pub Group West
Spencer Tracy: Tragic idol,Bill Davidson,Sidgwick &amp; Jackson
Terminus und andere Geschichten vom Piloten Pirx.,Stanislaw Lem,Suhrkamp
Autumn,Philippe Delerm,Gallimard French
A good woman,Lisa Appignanesi,HarperCollins Publishers
Progressive Cross-Stitch: Fast to Fantastic Variations from Single Patterns,Terrece Beesley,Sterling Pub Co Inc
"ENGLISH ROSE (Tapestry Romance, No. 26)",Kelli M. Gary,Pocket
Dear Sister,John Hall,Harpercollins Juvenile Books
Black Ice: The Invisible Threat of Cyber-Terrorism,Dan  Verton,McGraw-Hill Osborne Media
The Exploding Suns: The Secrets of the Supernovas,Isaac Asimov,Plume Books
Programmiersprache Assembler. Eine strukturierte EinfÃ?Â¼hrung.,Reiner Backer,Rowohlt Tb.
Tom's Private War,Leeson,Penguin Uk
Look to Windward,Iain M. Banks,Star Trek
Phoenix Rising,Karen Hesse,Puffin Books
"The Beloved Land (Song of Acadia, 5)",Janette Oke,Bethany House Publishers
Hard Evidence: How Detectives Inside the Fbi's Sci-Crime Lab Have Helped Solve America's Toughest Cases,David Fisher,Dell
Halliwell's Filmgoer's companion,Leslie Halliwell,Granada Publishing
Another Song About the King,Kathryn Stern,Random House Trade
Beyond Tomorrow,Fern Michaels,Mira
Tears In The Rain (Silhouette Special Edition),Pamela Wallace,Silhouette
With open hands,Henri J. M Nouwen,Ave Maria Press
Silverthorne,Wayne Davis,Berkley Publishing Group
"Fate Takes A Hand (Harlequin Romances, No 3454)",Betty Neels,Harlequin
Assignment in Brittany,Helen MacInnes,Fawcett Books
David Letterman Story,Caroline Latham,Berkley Publishing Group
Neil Sperry's Complete Guide to Texas Gardening,Neil Sperry,Taylor Trade Publishing
Los Viajes de Gulliver,Martin Hargreaves,El Ateneo
Diversity of Life,F. Ross,McGraw Hill College Div
Adventures of Sherlock Holmes,"Arthur Conan, Sir Doyle",Ballantine Books
Don't Let the Fire Go Out!,Jean Carnahan,University of Missouri Press
The Lies That Bind: A Neil Hamel Mystery,Judith Van Gieson,Harpercollins
Shadow Woman (Jane Whitfield Novel),Thomas Perry,Ivy Books
The Iron Dragon's Daughter,Michael Swanwick,Eos (HarperCollins)
"Eerie Triangle (Eerie, Indiana, No 3)",Mike Ford,HarperTrophy
Naked Beneath My Clothes: Tales of a Revealing Nature,Rita Rudner,Authorhouse
Why Did I Ever: A Novel,Mary Robison,Counterpoint Press
Take a Hike!: The Sierra Club Kid's Guide to Hiking and Backpacking,Lynne Foster,Little Brown &amp; Co
Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,McGraw-Hill
"Guardias Civiles, Esos Ciudadanos Uniformados: 25 A~nos de Lucha Por La Democratizacion y El Asociacionismo En La Guardia Civil, 1976-2001: 25 Visione",Fernando Carrillo,Germania
Mythic Tarot Workbook,Juliet Sharman-Burke,Fireside
You're Smarter Than You Think: A Kid's Guide to Multiple Intelligences,"Thomas, Ph.D. Armstrong",Free Spirit Publishing
Pocket Guide to Wild Flowers of North America,Pamela Forey,Trafalgar Square
Sweet Deception,Colleen Faulkner,Zebra Books
"The Amusement Park Mystery (Boxcar Children Mysteries, 25)",Gertrude Chandler Warner,Albert Whitman &amp; Company
Western Civilization to 1500 (Harpercollins College Outline Series),Walther Kirchner,Perennial
The Heather Blazing,Colm Toibin,Penguin USA
Quick After-Work Vegetarian Cookbook,Judy Ridgway,Perseus Publishing
The Ghosts of Hungryhouse Lane,Sam McBratney,Scholastic Paperbacks (Mm)
Stepmom,Maggie Robb,Time Warner Audio Major
Cold Front,William H. Lovejoy,Zebra Books
Heart Smart Cookbook,Henry Ford Heart,Andrews McMeel Pub
Forward the Foundation,Isaac Asimov,Bantam
Hoot (Newbery Honor Book),CARL HIAASEN,Knopf Books for Young Readers
Behind the Smile: My Journey Out of Postpartum Depression,Marie Osmond,Warner Books
"The Early Asimov, Book 1 (Early Asimov)",Isaac Asimov,Del Rey Books
MURDER W MIRRORS,Agatha Christie,Pocket
The Sign of the Guardian,John Arthur Long,Tor Books
Wives and Lovers,T. A. Gabriel,Leisure Books
Flowers in the Attic,V.C. Andrews,Pocket
Murder of a Snake in the Grass (Scumble River Mysteries),Denise Swanson,Signet Book
Seattle Survival Guide II: The Essential Handbook for Urban Living,Theresa Morrow,Sasquatch Books
Let my people grow: Ministry and leadership in the church,Michael Harper,Logos International
The Cut Direct: A Leonidas Witherall Mystery,Phoebe Atwood Taylor,Countryman Press
River Boy,Tim Bowler,Simon Pulse
Cash: The Autobiography,Johnny Cash,Harpercollins
Magic Hat of Mortimer Wintergreen,Myron Levoy,HarperCollins Publishers
Facing the Light,Adele Geras,Thomas Dunne Books
"Pasta Menus: 52 Easy, Delicious, Complete Meals",Norman Kolpas,McGraw-Hill/Contemporary Books
Open Your Mind and Be Healed,Johnnie Colemon,DeVorss &amp; Company
Are You Loathsome Tonight?: A Collection of Short Stories,Poppy Z. Brite,Gauntlet Press
Psionics Handbook (Dungeons &amp; Dragons Supplement),Bruce R. Cordell,Wizards of the Coast
Private Pilot for Airplane Single-Engine Land and Sea Practical Test Standards: #FAA-S-8081-14A (single),Federal Aviation Administration,Aviation Supplies &amp; Academics
Who Says Quack? (Pudgy Board Book),Jerry Smith,Grosset &amp; Dunlap
The Hearing,John Lescroart,Signet Book
KING OF THE CASTLE,Holt Victoria,HarperCollins Publishers
Danny Boy (Harper Monogram),Leigh Riker,Harper Mass Market Paperbacks
"Brightly Burning (Daw Books Collectors, No. 1150)",Mercedes Lackey,Daw Books
The Photograph,VIRGINIA ELLIS,Ballantine Books
Tone Deaf and All Thumbs?: An Invitation to Music-Making for Late Bloomers and Non-Prodigies,Frank R. Wilson,Penguin USA
"Hart'S Obsession (Harlequin American Romance, No 16495)",Jim Wilson,Harlequin
The Usual Rules: A Novel,Joyce Maynard,St. Martin's Press
Night Siege: The Hudson Valley Ufo Sightings,J. Allen Hyneck,Ballantine Books
Enlightened Journey : Buddhist Practice as Everyday Life,TULKU THONDUP,Shambhala
To the Edge,Cameron Abbott,Alice Street Editions
Blind Fury (Ironfist Chinmi - Kung Fu Boy),Takeshi Maekawa,Bloomsbury Publishing Plc
Land of Opportunity: One Family's Quest for the American Dream in the Age of Crack,William M. Adler,Pub Group West
A Deadly Promise (A Bantam Starfire Book),Joan Lowery Nixon,Starfire
Last Post: The End of Empire in the Far East,John Keay,John Murray General Publishing Division
The Hereafter Gang,Neal Barrett Jr.,Mojo Press
"Sexual Dreams: Why We Have Them, What They Mean",Gayle Delaney,Fawcett Books
Die kleine Eule. ( Ab 8 J.).,Jill Tomlinson,Ravensburger Buchverlag
The Hunger of Memory: The Education of Richard Rodriguez : An Autobiography,Richard Rodriguez,David R Godine Pub
Offshore,Penelope Fitzgerald,Mariner Books
Portable Tyrannosaurus Rex,Abrams,Harry N Abrams
Portraits of Flowers: Wood Engravings,G. Brender a Brandis,Porcupine's Quill
The Seeing,William P. McGivern,Leisure Books
Waves,Virginia Woolf,Oxford Univ Pr
Republic of Women,Merrill Findlay,Intl Specialized Book Service Inc
The Perpetrators,Gary Phillips,UglyTown
Creatures of Light and Darkness,Roger Zelazny,Harper Mass Market Paperbacks (Mm)
My Brother Jack,George Johnston,Harpercollins Publisher
The Secret Lives of Words,Paul West,Harvest Books
Panfleto desde el planeta de los simios (Las letras de drakontos),Manuel VÃ¡zquez MontalbÃ¡n,CrÃ­tica Grijalbo Mondadori
The Ordinary White Boy,Brock Clarke,Harcourt
Learn about dinosaurs (Leap frog),Laura D'Argo,New Seasons Pub
"Chained to the Desk: A Guidebook for Workaholics, Their Partners and Children, and the Clinicians Who Treat Them","Bryan E., Phd Robinson",New York University Press
Sluggy Freelance: Game Called on Account of Naked Chick (Book 4),Pete Abrams,Plan Nine Pub
"In my father's house: The years before \The Hiding Place\""""",Corrie Ten Boom,F. H. Revell Co
El Imperio De Las Tinieblas. LA Reina Libertad I,Christian Jacq,Planeta
Graves Gate: A Novel of Possession,Dennis Burges,Carroll &amp; Graf Publishers
Mortal Error: The Shot That Killed JFK,Bonar Menninger,St Martins Pr
Wild With It Poems: Poems,Aliki Barnstone,University Press of New England
The Sugar Addict's Total Recovery Program,Kathleen Desmaisons,Ballantine Books
Der magische Kubus.,Annie Gottlieb,Scherz
Chloe and Maude,Sandra Boynton,Little Brown and Company
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,Perennial
Glitzerkatze und Stinkmaus. ( Ab 7 J.).,Andreas SteinhÃ?Â¶fel,Dtv
Dark Universe,William F. Nolan,Leisure Books
Les guerriers du Grand CrÃ?Â¢ne,D Morlok,DenoÃ?Â«l
Sweet Fortune,Jayne Ann Krentz,Pocket
Country Comes to Town: A Laura Fleming Mystery (Laura Fleming Mystery),Toni L. P. Kelner,Kensington Publishing Corporation
Hobson's Choice (Hereford Plays),Harold Brighouse,Heinemann Educational Books - Secondary Division
Clan of the Warlord,Elizabeth H. Boyer,Del Rey Books
The Hunt Is Away,D. Forrester Newhall,Authorhouse
The Little Grain Cookbook,Patricia Stapley,Random House Inc
The Rationalist,Warwick Collins,Minerva
I Can Go Potty,Bonnie Worth,Golden Books
"Strong Women, Strong Bones : Everything You Need to Know to Prevent, Treat, and Beat Osteoporosis",Miriam Nelson,Putnam Publishing Group
Rough Trade,Steve Jackson,Pinnacle Books
"Toby Scudder, King of the School",David Gifaldi,Clarion Books
Vocabulario bÃ¡sico bilingÃ¼e: AragonÃ©s-castellano y castellano-aragonÃ©s (Puens enta ra parola),Antonio MartÃ­nez Ruiz,Publicazions d'o Consello d'a Fabla Aragonesa
Seduction,Charlotte Lamb,Harlequin
The Comedy of Errors,Harry T. Levin,New Amer Library Classics
Confession Brings Possession,Don Gossett,Anchor Distributors
Finding the Right Words: Offering Care and Comfort When You Don't Know What to Say,Wilfred Bockelman,Augsburg Fortress Publishers
Where's Waldo?: In Hollywood (Wheres Waldo),Martin Hanford,Candlewick Press (MA)
Building Accessible Websites (With CD-ROM),Joe  Clark,New Riders
The Tao of Symbols,James N. Powell,Quill
Answering Tide (Harlequin Temptation),Regan Forest,Harlequin
"Personal Agendas (Babylon 5, Book 8)",Al Sarrantonio,Dell
The End of a Primitive (Old School Books),Chester Himes,W. W. Norton &amp; Company
Shadowmaker,Joan Lowery Nixon,Bantam Doubleday Dell Publishing Group
Pig William (Reading Rainbow),Arlene Dubanevich,Simon &amp; Schuster Merchandise &amp;
Terrorism in the Twenty-First Century (2nd Edition),Cynthia Combs,Prentice Hall
Der Elektrische MÃ?Â¶nch. Dirk Gently's Holistische Detektei.,Douglas Adams,Heyne
Mammoth Book of Seriously Comic Fantasy (Mammoth),Mike Ashley,Constable and Robinson
Lyrische Hausapotheke,Erich Kastners,Deutscher Taschenbuch Verlag (DTV)
Sparks of Genius: The Thirteen Thinking Tools of the World's Most Creative People,Robert S. Root-Bernstein,Mariner Books
Nice Work,David Lodge,Penguin Putnam~trade
Staying Together: The Control Theory Guide to a Lasting Marriage,William Glasser,Harpercollins
"A New Dawn over Devon (The Secrets of Heathersleigh Hall, 4)",Michael Phillips,Bethany House Publishers
The Keys of Hell,Jack Higgins,Berkley Publishing Group
My Friends,Nancy Tafuri,HarperTrophy
Tennis Shoes,Noel Streatfeild,Yearling Books
Autopsja czyli dziennik kryzysu,Jacek Krakowski,Wydawn. Â¡Ã³dzkie
What Clients Love: A Field Guide to Growing Your Business,Harry Beckwith,Warner Books
Loin de Rueil,Raymond Queneau,Gallimard
"CASE OF THE ARTFUL CRIME (NANCY DREW 106) : CASE OF THE ARTFUL CRIME (Nancy Drew Mystery Stories, No 106)",Carolyn Keene,Aladdin
Neighbors: A novel,Thomas Berger,Delacorte Press/Seymour Lawrence
"Once A Father (Lone Star Country Club) (Silhouette Intimate Moments, No. 1132)",Marie Ferrarella,Silhouette
E Brown/Takes Case/ (Encyclopedia Brown (Paperback)),Donald J. Sobol,Yearling Books
Three Men on the Bummel,Jerome K. Jerome,Penguin USA
Planet of the Blind,Stephen Kuusisto,Bantam Dell Pub Group
The Road Unseen,Peter Jenkins,Fawcett Books
The Good Earth (Contemporary Classics),Pearl S. Buck,Washington Square Press
Ideal Bakery,Donald Hall,Harpercollins
Secret Sins,Joann Ross,St Martins Pr
Lonely Planet Japan (Lonely Planet Japan),Chris Rowthorne,Lonely Planet Publications
Gemma and the Baby Chick,Antonia Barber,Scholastic Paperbacks
Vanishing Florida: A Personal Guide to Sights Rarely Seen,David T. Warner,River City Publishing
Right to Life: And 2 Stories,Jack Ketchum,Gauntlet Press
Offseason: A Novel,Naomi Holoch,Farrar Straus &amp; Giroux
Summer Fire,Sally Wentworth,Harlequin
Fire on the Mountain,Edward Abbey,Harper Mass Market Paperbacks (Mm)
Heimatlos. ( Ab 12 J.).,Hector Malot,Dressler Verlag
The Character of Rain: A Novel,Amelie Nothomb,St. Martin's Press
Are You Having Fun Yet?: How to Bring the Art of Play into Your Recovery,Carmen Renee Berry,Thomas Nelson Inc
Hannas TÃ?Â¶chter.,Marianne Fredriksson,"KrÃ?Â¼ger, Frankfurt"
A Spirited Seduction (Haunting Hearts),Casey Claybourne,Jove Books
Becoming Orthodox: A Journey to the Ancient Christian Faith,Peter E. Gillquist,Thomas Nelson Inc
The Case of the Creative Crime,Carolyn Keene,Aladdin
Protektor,Charles Platt,Harpercollins
Principios de La Filosofia del Derecho,Georg Wilhelm Friedri Hegel,Edhasa
"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,Sagebrush Bound
Ricky Ricotta's Mighty Robot Vs. the Mutant Mosquitoes from Mercury: The Second Robot Adventure Noel (Ricky Ricotta),Dav Pilkey,Scholastic
Groa's Other Eye (Twilight of the Gods Book II),Dennis Schmidt,Ace Books
The Pirates of Zan,Murray Leinster,Bart Books
MY TEACHER IS AN ALIEN (RACK SIZE),Bruce Coville,Aladdin
The World We Live in (A Child's First Library of Learning),Time-Life Books,Time-Life Books
Macpherson's Lament: An Elizabeth Macpherson Mystery,Sharyn McCrumb,Ballantine Books
Boys! Shaping Ordinary Boys Into Extraordinary Men,William Beausay,Nelson Books
Hawke's Cove,Susan Wilson,Pocket
Falling Leaves Brit Edition,Adeline Yen Mah,Penguin Putnam~trade
Seaswept,Nora Roberts,Judy Piatkus Publishers Ltd
Little Earthquakes : A Novel,Jennifer Weiner,Atria
An Innocent Ruse (Harper Monogram),Mary Morrow,Harper Mass Market Paperbacks (Mm)
Pig Tale (Picture Mammoth),Helen Oxenbury,Egmont Childrens Books
Secrets and Lies : Digital Security in a Networked World,Bruce  Schneier,Wiley
"Ein ganz besonderer Saft, Urin.",Carmen Thomas,Vgs Verlagsges.
"Mary, Queen of Scots and the Murder of Lord Darnley",Alison Weir,Ballantine Books
La Linea Del Sol,Judith Ortiz Cofer,Editorial de la Universidad de Puerto Rico
Christina Rossetti: Selected Poems (Bloomsbury Classic Poetry Series),Prelude Pr,St Martins Pr
Mastering the Tarot,Eden Gray,Signet Book
Will You Be My Friend?,James J. Kavanaugh,Penguin USA
"Women Can't Hear What Men Don't Say: Destroying Myths, Creating Love",Warren Farrell Ph.D.,Jeremy P. Tarcher
Historia de Una Escalera,Antonio Buero Vallejo,Continental Book Co Inc
The Night Before Christmas (Fun-to-Read Fairy Tales),Clement Clarke Moore,Modern Publishing
Are We Living in the End Times?,Tim Lahaye,Tyndale House Publishers
Brotherly Love (Stonewall Inn Mysteries),Randye Lordon,St. Martin's Press
"Parallax Red  (Outlanders #5) (Outlanders , No 5)",James Axler,Gold Eagle
Aftermath,Ladislas Farago,Avon
"Class Trip (Sweet Valley Twins Super Edition, No 1)",Francine Pascal,Sweet Valley
Springer,Landoll,Landoll
Beim nÃ?Â¤chsten Film wird alles anders. Der Movie- Guide fÃ?Â¼r Frauen.,Doris Kuhn,Dtv
Wings of Fortune: Pirate's Gold (Crimson Skies),Stephen Kenson,McGraw Hill - NTC
"Isaac Asimov: The Complete Stories, Vol. 1",Isaac Asimov,Doubleday Books
"Master Of Cashel (Harlequin Romance, No 3066)",Sara Wood,Harlequin
Lili : A Novel of Tiananmen,ANNIE WANG,Pantheon
LETTERS TO A YOUNG VICTIM : Hope and Healing in America's Inner Cities (Free Press Paperbacks),Armstrong Williams,Scribner Paper Fiction
"Warrior'S Bride (Silhouette Intimate Moments, No 1080)",Nina Bruhns,Silhouette
"Stealing Samantha (Special Cover Treatment) (Harlequin American Romance, No 684)",Charlotte Maclay,Harlequin
"Lovable Furry Old Grover's Resting Places: Featuring Grover, a Jim Henson Sesame Streeet Muppet (Random House Picturebacks)",Jon Stone,Random House Children's Books
Daughters of Britannia: The Lives and Times of Diplomatic Wives,Katie Hickman,William Morrow &amp; Company
Salads (The Good Cook Series),Time-Life Editors,Time-Life Books
The Rampa Story,T. Lobsang Rampa,Inner Light - Global Communications
User's Reference Manual/System Administrator's Reference Manual (Commands a-L for Intel Processors : Unix System V Release 4),UNIX System Laboratories,Prentice Hall
Little Man: Meyer Lansky and the Gangster Life,Robert Lacey,Little Brown &amp; Co
Vipere Au Poing,Herve Bazin,Livre De Poche French
Into the Night,SUZANNE BROCKMANN,Ballantine Books
Witches' Bane,Susan Wittig Albert,Berkley Publishing Group
When Character Was King: A Story of Ronald Reagan,Peggy Noonan,Viking Books
Speech-Language Pathology Desk Reference,"Ross J., Ph.D. Roeser",Thieme Medical Publishers
Throwing the Elephant: Zen and the Art of Managing Up,Stanley Bing,HarperBusiness
The Sex Was Great But... (Red Dress Ink),Tyne O'Connell,Red Dress Ink
Bones,Joyce Thompson,Harper Mass Market Paperbacks
"Nice to See You, Andy Capp!",Reginald Smythe,Ballantine Books
One,Richard Bach,Dell
Country Life Book of the Royal Wedding,Lornie Leete Hodge,Hamlyn Publ Group Ltd
Garfield Tips the Scales (Garfield (Numbered Paperback)),Jim Davis,Ballantine Books
Eleven Minutes : A Novel,Paulo Coelho,HarperCollins
"One Husband Needed (Hope Valley Brides) (Hope Valley Brides, 3592)",Jeanne Allan,Harlequin
Islands in the Sky,Arthur C. Clarke,New Amer Library (Mm)
Deutschland umsonst. Zu Fuss und ohne Geld durch ein Wohlstandsland.,Michael Holzach,Hoffmann &amp; Campe
Illustrated Elements of Homeopathy (Illustrated Elements Of...S.),Llana Dannheisser,Element Books
"The Battle of Evernight (The Bitterbynde, Book 3)",Cecilia Dart-Thornton,Aspect
Road Goes Ever on,J. R. R. Tolkien,Houghton Mifflin
Teenage Wasteland : Suburbia's Dead End Kids,Donna Gaines,Press
Growing Up,Russell Baker,McGraw-Hill
Scomparsa Di Pato,Andrea Camilleri,Mondadori Italian
Late of This Parish,Marjorie Eccles,St Martins Pr
The Dead of Jericho (Inspector Morse Mysteries (Paperback)),Colin Dexter,Ivy Books
Feather on the Moon (G. K. Hall (Large Print)),Phyllis A. Whitney,G. K. Hall &amp; Company
Armageddon and the Peaceable Kingdom,Walter Klaassen,Herald Press (PA)
An Unspoken Promise,Georgia Bockoven,Harper Mass Market Paperbacks (Mm)
Gentleman in Love,Barbara Cartland,Thorndike Pr
Graffiti: Devotions for Girls,J. David Schmidt,Revell
Starfarers,Vonda N. McIntyre,Ace Books
"War of Honor (Honor Harrington Series, Book 10)",David Weber,Baen
People of the Andes (Exploring the Ancient World),James B. Richardson,Smithsonian Books
"In Tune With the Infinite: Fullness of Peace, Power and Plenty",Ralph Waldo Trine,Natl Book Network
"How to Attract Anyone, Anytime, Anyplace: The Smart Guide to Flirting",Susan Rabin,Plume Books
The glade within the grove,David Foster,Vintage
The Demon Bike Rider,Robert Leeson,HarperCollins Publishers
"\Mind-boggling\""--Evening Post: Kolumnen Nr. 96-108, some other stuff, acht unpaginierte Farbseiten, etliche s/w-Abbildungen, sowie Zeichnungen von Katz und Goldt""",Max Goldt,Haffman
Crossfire Trail,Louis L'Amour,Ballantine Books (Mm)
Harold and the Purple Crayon 50th Anniversary Edition,Crockett Johnson,HarperCollins
The Decameron,Giovanni Boccaccio,Signet Book
How Many?,Tony Tallarico,Tuffy Books
Irresistible (Banning Sisters Trilogy),Karen Robards,Pocket
The Book of Color: A Novel,Julia Blackburn,Random House Inc
