title,genres,keywords,original_language,overview
My Own Private Idaho,Drama Romance,individual gay father son relationship rome robbery,en,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters (River Phoenix) is a gay hustler afflicted with narcolepsy. Scott Favor (Keanu Reeves) is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant."
Bandits,Action Comedy Crime Romance,prison,en,Two bank robbers fall in love with the girl they've kidnapped.
Crazy in Alabama,Comedy Drama,,en,An abused wife heads to California to become a movie star while her nephew back in Alabama has to deal with a racially-motivated murder involving a corrupt sheriff.
(500) Days of Summer,Comedy Drama Romance,date sex jealousy fight architect,en,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life."
Extremely Loud & Incredibly Close,Drama,based on novel autism key scavenger hunt death of father,en,"A year after his father's death, Oskar, a troubled young boy, discovers a mysterious key he believes was left for him by his father and embarks on a scavenger hunt to find the matching lock."
The Artist,Drama Comedy Romance,film producer film history movie studio hollywood dog,en,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break."
Stan Helsing,Comedy Horror,halloween slapstick duringcreditsstinger,en,"It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan"
The Relic,Horror Mystery Thriller,chicago based on novel monster museum pile of dead bodies,en,"A researcher at Chicago's Natural History Museum returns from South America with some crates containing his findings. When the crates arrive at the museum without the owner there appears to be very little inside. However, police discover gruesome murders on the cargo ship that brought the crates to the US and then another murder in the museum itself."
The Midnight Meat Train,Mystery Drama Crime Thriller Horror,photographer butcher vegetarian midnight blood splatter,en,"The photographer Leon lives with his girlfriend and waitress Maya waiting for a chance to get in the photo business. When Maya contacts their friend Jurgis, he schedules a meeting for Leon with the successful owner of arts gallery Susan Hoff; she analyzes Leon's work and asks him to improve the quality of his photos. During the night, the upset Leon decides to wander on the streets taking pictures with his camera, and he follows three punks down to the subway station; when the gang attacks a young woman, Leon defends her and the guys move on. On the next morning, Leon discovers that the woman is missing. He goes to the police station, but Detective Lynn Hadley does not give much attention to him and discredits his statement. Leon becomes obsessed to find what happened with the stranger and he watches the subway station. When he sees the elegant butcher Mahogany in the train, Leon believes he might be a murderer and stalks him everywhere, in the beginning of his journey to the darkness."
Ghost Rider: Spirit of Vengeance,Action Fantasy Thriller,monk eastern europe skeleton biker marvel comic,en,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end."
My Summer of Love,Drama Thriller Romance,england brother sister relationship becoming an adult northern england female friendship,en,"In the Yorkshire countryside, working-class tomboy Mona meets the exotic, pampered Tasmin. Over the summer season, the two young women discover they have much to teach one another, and much to explore together."
Dark Blue,Action Crime Drama Thriller,corruption police brutality riot ghetto street war,en,"Set during the Rodney King riots, a robbery homicide investigation triggers a series of events that will cause a corrupt LAPD officer to question his tactics."
Kill Bill: Vol. 1,Action Crime,japan coma martial arts kung fu underworld,en,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last."
Meek's Cutoff,Drama Western,gold oregon thirst tree settler,en,"Set in 1845, this drama follows a group of settlers as they embark on a punishing journey along the Oregon Trail. When their guide leads them astray, the expedition is forced to contend with the unforgiving conditions of the high plain desert."
The Master,Drama,post traumatic stress  disorder sexual obsession postwar period drifter alcoholic,en,"Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion"" he forms after World War II."
Once Upon a Time in the West,Western,showdown bounty bounty hunter loss of brother sadness,it,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.
The Golden Compass,Adventure Fantasy,england compass experiment lordship uncle,en,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny."
The Monuments Men,War Drama History Action,world war ii nazis art theft post world war ii,en,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?"
The Egyptian,History Drama,egypt,en,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth."
Free Style,Drama Family,duringcreditsstinger,en,"Cale Bryant is determined to win a coveted spot on the Grand National motocross racing team. With the support of his loving mother, precocious little sister and new girlfriend, Cale proves against all odds that he has the heart, the willpower and the courage never to give up on his dream."
X-Men: The Last Stand,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,en,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto."
Rocky,Drama,underdog philadelphia transporter italo-american fight,en,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break."
Pitch Black,Thriller Science Fiction Action,darkness dystopia comet alien life-form survival,en,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light."
Iron Man 2,Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,en,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies."
Ruby in Paradise,Drama Romance,independent film,en,"Reeling from her mother's recent death, Ruby Lee Gissing relocates to Florida to start anew. After finding a job at a souvenir store, Ruby becomes friends with the shop's owner, Mildred Chambers, and slowly acclimates to her new surroundings. Before long, she's juggling the affections of Mildred's Lothario son, Ricky, and the good-natured Mike. As she wavers between Ricky and Mike, Ruby also tries to come to terms with her past."
The Smurfs,Animation Family Adventure Comedy Fantasy,moon magic based on comic book animation good vs evil,en,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down."
Oliver!,Drama Family Music,pickpocket musical victorian england orphan,en,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin."
The Celebration,Drama,suicide father son relationship child abuse sexual abuse depression,da,"A grandiose party to celebrate a sixtieth birthday unleashes a family drama with all the lies that conceal horrendous secrets. The eldest son, Christian, stages a showdown with the popular pater familias; his provocative, moving after-dinner speech dislodges all the masks, which finally fall completely as the father-son conflict intensifies and the bewildered guests look on."
The Last Witch Hunter,Fantasy Action Adventure,new york witch uprising witch hunter,en,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family."
Prom Night,Crime Horror,aunt remake blood on shirt slasher death of family,en,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends."
The Dead Girl,Mystery Drama Crime Thriller,prostitute fire newspaper independent film woman director,en,The clues to a young woman's death come together as the lives of seemingly unrelated people begin to intersect.
Saving Silverman,Comedy Crime Romance,female nudity harassment male friendship dark comedy director cameo,en,"A pair of buddies conspire to save their best friend from marrying the wrong woman, a cold-hearted beauty who snatches him from them and breaks up their Neil Diamond cover band."
Love Me Tender,Drama Action Western Music Romance,civil war,en,Elvis Prestley's first film is a Civil War drama.
Little Nicky,Comedy Fantasy Romance,father son relationship brother sister relationship mephisto bulldogg,en,"After the lord of darkness decides he will not cede his thrown to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell."
Incident at Loch Ness,Adventure Comedy Horror,,en,"The German film director Werner Herzog sets out to the Scottish Highlands to make a documentary, ""Enigma of Loch Ness"", exploding the myth of the Loch Ness Monster. Meanwhile, another documentary film crew is making a film about Werner Herzog, and we see the production of ""Enigma"" from their point of view. Shooting on a rented boat, tensions begin to rise as director Herzog and his producer, Zak Penn, find themselves at cross-purposes on the black surface of Loch Ness. Things get very edgy when the film crew starts seeing shapes in the murky water."
Autumn in New York,Drama Romance,new love love of one's life unexpected happiness dying and death success,en,"Autumn in New York follows the sexual exploits of Will Keane - New York restaurateur, infamous verging-on-50 playboy, master of the no-commitment seduction - until he runs into an unexpected dead end when he meets Charlotte Fielding. Charlotte is half Will's age and twice his match, a 21 year-old free spirit yearning to get out and taste the excitement of adult life."
Training Day,Action Crime Drama Thriller,police brutality war on drugs drug traffic drug dealer los angeles,en,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears."
Hocus Pocus,Comedy Family Fantasy,witch halloween salem trick or treating spellcasting,en,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all."
Hardflip,Drama Action,skateboarding forgiveness sport family relationships aftercreditsstinger,en,"Hardflip follows the story of Caleb (Randy Wayne) a young skater whose ill mother (Rosanna Arquette) and absent father (John Schneider) leave him reaching for the only hope he has...becoming a sponsored skater. After his mother falls ill, Caleb finds a stack of old love letters. He sets out to find the father he never knew and inadvertently begins a journey he never could have expected. This story explores what happens when we let go of our anger and pain and forgive those who have hurt us most."
The Doors,Drama Music,hippie poetry sex rock and roll nudity,en,"The story of the famous and influential 1960's rock band and its lead singer and composer, Jim Morrison."
Scott Walker: 30 Century Man,Documentary Music,music,en,A documentary on the influential musician Scott Walker.
Why Did I Get Married?,Comedy Drama,,en,"The film is about the difficulty of maintaining a solid relationship in modern times. Eight married college friends plus one other non-friend (all of whom have achieved middle to upper class economic status) go to Colorado for their annual week-long reunion, but the mood shifts when one couple's infidelity comes to light. Secrets are revealed and each couple begins to question their own marriage"
To Kill a Mockingbird,Crime Drama,black people based on novel brother sister relationship becoming an adult isolation,en,"In a small Alabama town in the 1930s, scrupulously honest and highly respected lawyer, Atticus Finch puts his career on the line when he agrees to represent Tom Robinson, a black man accused of rape. The trial and the events surrounding it are seen through the eyes of Finch's six-year-old daughter, Scout. While Robinson's trial gives the movie its momentum, there are plenty of anecdotal occurrences before and after the court date: Scout's ever-strengthening bond with older brother, Jem, her friendship with precocious young Dill Harris, her father's no-nonsense reactions to such life-and-death crises as a rampaging mad dog, and especially Scout's reactions to, and relationship with, Boo Radley, the reclusive 'village idiot' who turns out to be her salvation when she is attacked by a venomous bigot."
Bachelorette,Comedy Romance,bridesmaid strip club female friendship reunion drug use,en,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.
Mr. Peabody & Sherman,Animation Adventure Family,father son relationship egypt intelligence adoption time travel,en,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-travel machine is stolen and moments in history begin to be changed."
Little Shop of Horrors,Horror Comedy Music,flower solar eclipse florist assistant plants,en,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper."
The Mexican,Action Comedy Crime Romance,kidnapping pistol,en,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border."
Point Blank,Action Crime Drama Thriller,alcatraz revenge organized crime,en,"After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the rather inconsequential sum of money that was stolen from him."
Jimmy and Judy,Action Crime Drama Thriller,police revenge independent film video camera on the run,en,Two misunderstood suburban kids challenge society and run from the police while documenting all of their deeds with a digital camera.
Becoming Jane,Drama Romance,england judge irland new love empowerment,en,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.
Josie and the Pussycats,Comedy Music,manager pop secret small town garage,en,"Josie, Melody and Val are three small-town girl musicians determined to take their rock band out of their garage and straight to the top, while remaining true to their look, style and sound. They get a record deal which brings fame and fortune but soon realize they are pawns of two people who want to control the youth of America. They must clear their names, even if it means losing fame and fortune."
The Jerky Boys,Comedy Crime,new york telephone joke gangster,en,"When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't long before Johnny and Kamal (the ""Jerky Boys"" of crank call fame) are wanted by the local mafia, the police, and their neighbor."
Transporter 2,Action Thriller Crime,martial arts war on drugs kidnapping bodyguard baby-snatching,en,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers."
Three,Romance Drama Comedy,sex bisexual science,de,"Hanna and Simon are in a 20 year marriage with an unexiting relationship. By chance, they both meet and start separate affairs with Adam. Adam has no idea that his two lovers are married, until they are all found out when Hanna becomes pregnant, with the natural doubts stemming from their situation."
The Invention of Lying,Comedy Romance Fantasy,,en,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead."
Hum To Mohabbat Karega,,,en,"Raju, a waiter, is in love with the famous TV reporter Greeta Kapoor. After a man is murdered, Kapoor shows up at Raju's door to ask him some questions - it turns out that Raju served the dead man his last supper, and the authorities hope that he might be able to help them. Raju lies and says that he was an eye witness, in order to spend more time with Kapoor. He gives the police a false description of the killer, but it matches his best friend Kutti, so soon Kutti is wanted by the police, and the Mafia, who is responsible for the killing, is after Raju."
Standard Operating Procedure,Documentary,prison prisoner jail guard prison cell bagdad,en,Errol Morris examines the incidents of abuse and torture of suspected terrorists at the hands of U.S. forces at the Abu Ghraib prison.
The Oxford Murders,Crime Mystery Thriller,mathematician mathematics oxford symbol triangle,en,"At Oxford University, a professor and a grad student work together to try and stop a potential series of murders seemingly linked by mathematical symbols"
The Texas Chainsaw Massacre: The Beginning,Horror,mass murder planned murder chain saw sadism knife,en,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror."
Dolphin Tale 2,Family Drama,dolphin aquarium swimming,en,The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital.
Bella,Drama Romance,waitress beach independent film soccer girl,en,"An international soccer star is on his way to sign a multimillion dollar contract when something happens that brings his career to an abrupt end. A beautiful waitress, struggling to make it in New York City, discovers something about herself that she's unprepared for. In one irreversible moment, their lives are turned upside down."
All Hat,Action Comedy Drama Western,indian territory horse ranch stetson urbanisierung,en,"An ex-con returns to his rural Ontario roots and outwits a corrupt and wealthy thoroughbred owner trying to take over a slew of local farms. Ray Dokes, a charming ex-ballplayer, returns from jail to discover the rural landscape of his childhood transformed by urban development. Determined to stay out of trouble, Ray heads to the farm of his old friend Pete Culpepper, a crusty Texas cowboy who trains losing racehorses and whose debts are growing faster than his corn."
Killers,Action Comedy Thriller Romance,assassin,en,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life."
The Legend of Bagger Vance,Fantasy Drama,competition world war i great depression caddy savannah,en,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance."
Trust,Crime Drama Thriller,rape obsession lie job independent film,en,"A suburban family is torn apart when fourteen-year-old Annie meets her first boyfriend online. After months of communicating via online chat and phone, Annie discovers her friend is not who he originally claimed to be. Shocked into disbelief, her parents are shattered by their daughter's actions and struggle to support her as she comes to terms with what has happened to her once innocent life."
Three Kingdoms: Resurrection of the Dragon,Action History Drama,warrior woman number in title,en,"The aging Zhao embarks on his final and greatest campaign, a road to adventure that will crown his name in glory for all time."
Smoke Signals,Drama Comedy,,en,"Young Indian man Thomas is a nerd in his reservation, wearing oversize glasses and telling everyone stories no-one wants to hear. His parents died in a fire in 1976, and Thomas was saved by Arnold. Arnold soon left his family, and Victor hasn't seen his father for 10 years. When Victor hears Arnold has died, Thomas offers him funding for the trip to get Arnold's remains"
The Sweetest Thing,Romance Comedy,roommate marriage aftercreditsstinger duringcreditsstinger,en,"Christina's love life is stuck in neutral. After years of avoiding the hazards of a meaningful relationship, one night while club-hopping with her girlfriends, she meets Peter, her perfect match. Fed up with playing games, she finally gets the courage to let her guard down and follow her heart, only to discover that Peter has suddenly left town. Accompanied by Courtney, she sets out to capture the one that got away."
Mission to Mars,Science Fiction,mars spacecraft space travel alien long take,en,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate."
Thomas and the Magic Railroad,Animation Drama Family Science Fiction,,en,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin, his new friend Lily and her morose grandfather, plus the secret engine."
Duplicity,Romance Comedy Crime,spy,en,Two romantically-engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together.
Dragonslayer,Fantasy,secret identity self sacrifice magic virgin solar eclipse,en,The sorcerer and his apprentice Galen are on a mission to kill an evil dragon in order to save the King’s daughter from being sacrificed in accordance to a pact that the King himself made with the dragon to protect his kingdom. A fantasy film from Disney Studios that exhausted all possible visual effects of the time.
It's Kind of a Funny Story,Comedy Drama,suicide depression independent film coming of age teen movie,en,A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.
The Dark Knight,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
Wonder Boys,Comedy Drama,adultery robbery based on novel professor college,en,"Grady (Michael Douglas) is a 50-ish English professor who hasn't had a thing published in years -- not since he wrote his award winning ""Great American Novel"" 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author."
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,exotic island blacksmith east india trading company gold marriage proposal,en,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple."
Two Brothers,Adventure Drama Family,brother brother relationship loss of brother cambodia chase tiger,en,"Two tigers are separated as cubs and taken into captivity, only to be reunited years later as enemies by an explorer (Pearce) who inadvertently forces them to fight each other."
25th Hour,Crime Drama,prison prisoner dream drug dealer nightclub,en,"The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint."
Poultrygeist: Night of the Chicken Dead,Horror Comedy,musical zombie,en,"Humans... the other white meat... Unless you're black, then it's dark meat... Or if you are Asian, then it's yellow meat... Or if you are Native American, it's red meat..."
Red Dawn,Action Thriller,guerrilla colorado invasion anti-communism near future,en,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them."
Krrish,Action Science Fiction,,hi,"Krishna (Roshan) is born with magical powers - a legacy from his father. Priya (Chopra) comes into his life and becomes his world. When she beckons him to Singapore, he follows. In Singapore, Dr. Siddhant Arya (Shah), the megalomaniac scientist is on the verge of changing the future forever. Only one man stands between Dr. Siddharth Arya and his destructive dreams. To block his ruthless ambitions -- Krishna must become Krrish."
