title,country,rating,listed_in,description
The Dirt,United States,TV-MA,"Comedies, Dramas, Music & Musicals","In this unflinching biopic based on Mötley Crüe's best-selling book, four LA misfits navigate the monster highs and savage lows of music superstardom."
Brews Brothers,United States,TV-MA,TV Comedies,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos."
Rodney Carrington: Here Comes the Truth,United States,TV-MA,Stand-Up Comedy,"Raunchy country comic and musician Rodney Carrington jokes and sings about life in his 40s, poking fun at sex, relationships and gaining weight."
Planet Hulk,United States,TV-14,"Action & Adventure, Sci-Fi & Fantasy","When Earth's superheroes exile the volatile Incredible Hulk to a distant planet called Sakaar, the muscle-bound green monster is sold into slavery."
Tree Man,Canada,TV-PG,Documentaries,"Entrepreneurs from Vermont and Quebec sell Christmas trees on the streets of New York, becoming a cherished part of neighborhood holiday traditions."
Ladies First,India,TV-G,"Documentaries, International Movies, Sports Movies","Born amid poverty and limited women's rights in the village of Ratu, India, Deepika Kumari rose to become the No.1 female archer in the world at 18."
King Jack,United States,NR,"Dramas, Independent Movies","Already coping with a bully, a mercurial older brother and summer school, 15-year-old Jack is saddled with his young cousin for an eventful weekend."
"I love you, stupid",Spain,TV-MA,"Comedies, International Movies, Romantic Movies","After Marcos is dumped by his girlfriend, he attempts to reinvent himself as a modern man with the help of a childhood friend and an online guru."
A Family Man,"Canada, United States",R,Dramas,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.
Boomika (Telugu),,TV-14,"Horror Movies, International Movies, Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
3 Türken & ein Baby,Germany,TV-MA,"Comedies, International Movies",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
Teenage Bounty Hunters,United States,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.
I'm Sorry,United States,TV-MA,TV Comedies,"Life is a series of awkward situations for comedy writer and mom Andrea, thanks to plenty of neuroses and a knack for sticking her foot in her mouth."
Taken,"France, United States",TV-14,"Crime TV Shows, TV Action & Adventure, TV Thrillers","After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative."
Harriet the Spy: Blog Wars,"United States, Canada",TV-G,"Children & Family Movies, Comedies",Intrepid writer Harriet Welsch is determined to become the class blogger despite stiff competition from her snooty archrival.
Jal,India,TV-14,"Dramas, Independent Movies, International Movies",A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.
Only Mine,United States,TV-14,Thrillers,"After dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways."
Bibi & Tina: Tohuwabohu Total,Germany,TV-14,"Children & Family Movies, Music & Musicals",Teen witch Bibi and her pal Tina return to the screen to reconcile a runaway girl with her narrow-minded family and save Falkenstein Castle from chaos.
Darna Mana Hai,India,TV-MA,"Horror Movies, International Movies, Thrillers","Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves."
Professor,India,TV-PG,"Comedies, Dramas, International Movies",A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.
Posesif,Indonesia,TV-MA,"Dramas, International Movies, Romantic Movies",A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.
The lynx,Poland,TV-14,"Dramas, International Movies",A priest's duties are tested when a young guerrilla asks for absolution while confessing his plans to murder a local man he believes is a traitor.
Nightflyers,United States,TV-MA,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","With humankind's future at stake, a group of scientists and a powerful telepath venture into the void aboard a spaceship full of secrets."
Eyyvah Eyyvah 3,Turkey,TV-PG,"Comedies, International Movies","Life is tough for Hüseyin after marrying his true love. He works day and night to support his growing family, while singer Firuzan copes with fame."
Everybody Knows,"Spain, France, Italy",R,"Dramas, International Movies, Thrillers","Journeying back to her small Spanish hometown for her sister's wedding, Laura must grapple with long-buried secrets when her daughter is abducted."
Case,Iceland,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.
The Circle,"United States, United Kingdom",TV-MA,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
Vikings Unearthed,United States,TV-PG,Documentaries,Archaeologist Sarah Parcak follows clues to early Viking explorations and discusses just what these notoriously fierce warriors were really like.
Bad Blood,Canada,TV-MA,"Crime TV Shows, TV Dramas","This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades."
My Entire High School Sinking Into the Sea,United States,PG-13,"Comedies, Independent Movies","After an earthquake sends their school building drifting into the sea, a group of high-schoolers struggles to survive and overcome clique wars."
"Bob Ross: Happy Accidents, Betrayal & Greed",,TV-14,Documentaries,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
This Lady Called Life,Nigeria,TV-14,"Dramas, International Movies, Romantic Movies","Abandoned by her family, young single mother Aiye struggles to survive but stays focused on her dream of becoming an elite chef."
Don't F**k with Cats: Hunting an Internet Killer,"United Kingdom, United States",TV-MA,"Crime TV Shows, Docuseries",A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.
Memoir of a Murderer,South Korea,TV-MA,"Dramas, International Movies, Thrillers","Hiding his own murderous past, a man suffering from Alzheimer's must protect his daughter from her boyfriend, who he suspects is also a serial killer."
Barbie & Her Sisters in a Pony Tale,United States,TV-Y,Children & Family Movies,"Barbie and her sisters set off on a Swiss adventure to the majestic Alps, where they're excited to spend the summer at a fun-filled riding academy!"
Your Excellency,,TV-G,"Comedies, International Movies","Bumbling through politics, a billionaire businessman's presidential campaign seems destined for disaster until it gets a boost from social media."
Ferrari Ki Sawaari,India,TV-PG,"Comedies, International Movies, Sports Movies",A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.
