title,country,rating,listed_in,description
The Dirt,United States,TV-MA,"Comedies, Dramas, Music & Musicals","In this unflinching biopic based on Mötley Crüe's best-selling book, four LA misfits navigate the monster highs and savage lows of music superstardom."
Brews Brothers,United States,TV-MA,TV Comedies,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos."
Rodney Carrington: Here Comes the Truth,United States,TV-MA,Stand-Up Comedy,"Raunchy country comic and musician Rodney Carrington jokes and sings about life in his 40s, poking fun at sex, relationships and gaining weight."
Planet Hulk,United States,TV-14,"Action & Adventure, Sci-Fi & Fantasy","When Earth's superheroes exile the volatile Incredible Hulk to a distant planet called Sakaar, the muscle-bound green monster is sold into slavery."
Tree Man,Canada,TV-PG,Documentaries,"Entrepreneurs from Vermont and Quebec sell Christmas trees on the streets of New York, becoming a cherished part of neighborhood holiday traditions."
Ladies First,India,TV-G,"Documentaries, International Movies, Sports Movies","Born amid poverty and limited women's rights in the village of Ratu, India, Deepika Kumari rose to become the No.1 female archer in the world at 18."
King Jack,United States,NR,"Dramas, Independent Movies","Already coping with a bully, a mercurial older brother and summer school, 15-year-old Jack is saddled with his young cousin for an eventful weekend."
"I love you, stupid",Spain,TV-MA,"Comedies, International Movies, Romantic Movies","After Marcos is dumped by his girlfriend, he attempts to reinvent himself as a modern man with the help of a childhood friend and an online guru."
A Family Man,"Canada, United States",R,Dramas,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.
Boomika (Telugu),,TV-14,"Horror Movies, International Movies, Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
3 Türken & ein Baby,Germany,TV-MA,"Comedies, International Movies",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
Teenage Bounty Hunters,United States,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.
I'm Sorry,United States,TV-MA,TV Comedies,"Life is a series of awkward situations for comedy writer and mom Andrea, thanks to plenty of neuroses and a knack for sticking her foot in her mouth."
Taken,"France, United States",TV-14,"Crime TV Shows, TV Action & Adventure, TV Thrillers","After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative."
Harriet the Spy: Blog Wars,"United States, Canada",TV-G,"Children & Family Movies, Comedies",Intrepid writer Harriet Welsch is determined to become the class blogger despite stiff competition from her snooty archrival.
Jal,India,TV-14,"Dramas, Independent Movies, International Movies",A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.
Only Mine,United States,TV-14,Thrillers,"After dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways."
Bibi & Tina: Tohuwabohu Total,Germany,TV-14,"Children & Family Movies, Music & Musicals",Teen witch Bibi and her pal Tina return to the screen to reconcile a runaway girl with her narrow-minded family and save Falkenstein Castle from chaos.
Darna Mana Hai,India,TV-MA,"Horror Movies, International Movies, Thrillers","Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves."
Professor,India,TV-PG,"Comedies, Dramas, International Movies",A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.
Posesif,Indonesia,TV-MA,"Dramas, International Movies, Romantic Movies",A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.
The lynx,Poland,TV-14,"Dramas, International Movies",A priest's duties are tested when a young guerrilla asks for absolution while confessing his plans to murder a local man he believes is a traitor.
Nightflyers,United States,TV-MA,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","With humankind's future at stake, a group of scientists and a powerful telepath venture into the void aboard a spaceship full of secrets."
Eyyvah Eyyvah 3,Turkey,TV-PG,"Comedies, International Movies","Life is tough for Hüseyin after marrying his true love. He works day and night to support his growing family, while singer Firuzan copes with fame."
Everybody Knows,"Spain, France, Italy",R,"Dramas, International Movies, Thrillers","Journeying back to her small Spanish hometown for her sister's wedding, Laura must grapple with long-buried secrets when her daughter is abducted."
Case,Iceland,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.
The Circle,"United States, United Kingdom",TV-MA,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
Vikings Unearthed,United States,TV-PG,Documentaries,Archaeologist Sarah Parcak follows clues to early Viking explorations and discusses just what these notoriously fierce warriors were really like.
Bad Blood,Canada,TV-MA,"Crime TV Shows, TV Dramas","This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades."
My Entire High School Sinking Into the Sea,United States,PG-13,"Comedies, Independent Movies","After an earthquake sends their school building drifting into the sea, a group of high-schoolers struggles to survive and overcome clique wars."
"Bob Ross: Happy Accidents, Betrayal & Greed",,TV-14,Documentaries,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
This Lady Called Life,Nigeria,TV-14,"Dramas, International Movies, Romantic Movies","Abandoned by her family, young single mother Aiye struggles to survive but stays focused on her dream of becoming an elite chef."
Don't F**k with Cats: Hunting an Internet Killer,"United Kingdom, United States",TV-MA,"Crime TV Shows, Docuseries",A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.
Memoir of a Murderer,South Korea,TV-MA,"Dramas, International Movies, Thrillers","Hiding his own murderous past, a man suffering from Alzheimer's must protect his daughter from her boyfriend, who he suspects is also a serial killer."
Barbie & Her Sisters in a Pony Tale,United States,TV-Y,Children & Family Movies,"Barbie and her sisters set off on a Swiss adventure to the majestic Alps, where they're excited to spend the summer at a fun-filled riding academy!"
Your Excellency,,TV-G,"Comedies, International Movies","Bumbling through politics, a billionaire businessman's presidential campaign seems destined for disaster until it gets a boost from social media."
Ferrari Ki Sawaari,India,TV-PG,"Comedies, International Movies, Sports Movies",A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.
Seven and Me,France,TV-Y,Kids' TV,A little girl discovers she’s the modern-day descendant of Snow White when seven dwarfs arrive at her suburban home to serve as her guardian angels.
Ask the StoryBots,United States,TV-Y,Kids' TV,"Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth."
Jewel's Catch One,United States,TV-MA,"Documentaries, LGBTQ Movies","The story of famed L.A. nightclub Catch One and owner Jewel Thais-Williams, who defied all odds and provided a safe space for black LGBT communities."
The Men Who Stare at Goats,"United States, United Kingdom",R,Comedies,"A journalist latches onto an unbelievable story in Iraq when he meets Lyn, a man of mysterious origins who reveals he was a ""warrior monk."""
"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense",,TV-MA,Stand-Up Comedy,"Charismatic comedy pals Karol Modzelewski and Łukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy."
Sky on Fire,"China, Hong Kong",TV-MA,"Action & Adventure, International Movies",The security chief at a top-level medical facility must fight to ensure that revolutionary cancer research doesn't fall into the wrong hands.
Shiny_Flakes: The Teenage Drug Lord,,TV-MA,"Documentaries, International Movies","Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series ""How to Sell Drugs Online (Fast)."""
Hart of Dixie,United States,TV-PG,"TV Comedies, TV Dramas",Fast-talking city girl Zoe Hart winds up patching up the locals of a tiny town in the Deep South when she inherits a medical practice in Alabama.
Our Lovers,Spain,TV-MA,"Comedies, Dramas, International Movies","A love-challenged man and a woman he meets at a bookshop bar begin dating, but only at the shop – and without knowing anything about each other."
Gol Maal,India,TV-PG,"Classic Movies, Comedies, International Movies","When circumstances at work compel Ram to pretend to have a twin, his lie works – until the boss wants his daughter to marry Ram’s fictitious brother."
Money Trap,Turkey,TV-MA,"Comedies, Dramas, International Movies","When his daughter and son-in-law fall prey to a scam, Istanbul con man Asım Noyan meets his match in a madcap kingpin of an underground gambling world."
KENGAN ASHURA,"United States, Japan",TV-MA,"Anime Series, International TV Shows","Ohma Tokita enters a hidden world where corporate disputes are settled in brutal gladiator bouts. Forget the money, he just wants to fight – and win."
The Angry Birds Movie 2,"Finland, United States",PG,"Children & Family Movies, Comedies",Enemies turn into frenemies when the Pigs call for a truce with the Birds to unite against a formidable new foe that’s threatening all of their homes.
Lunatics,Australia,TV-MA,"International TV Shows, TV Comedies",This mockumentary series follows the peculiar lives of six eccentric – and sometimes obscene – misfits who march to their own beat.
Ghost Rider,"United States, Australia",PG-13,"Action & Adventure, Sci-Fi & Fantasy","After selling his soul to save a loved one, daredevil biker Johnny Blaze pays the price by becoming a flame-skulled bounty hunter for Mephistopheles."
The Houseboat,Germany,TV-14,"Docuseries, International TV Shows","With plenty of passion and little know-how, two musicians undertake a daunting project: turn a late singer's houseboat into a creative musical space."
Firedrake the Silver Dragon,,TV-Y7,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
Happy Go Lucky,India,TV-14,"Comedies, International Movies, Music & Musicals","Three sisters seem to be ideal brides for three brothers. But when the girls' father won't allow the marriages, the boys use trickery to pull it off."
Get the Goat,Brazil,TV-14,"Action & Adventure, Comedies, International Movies","Two hapless cops find themselves in over their heads as they cross paths with dangerous criminals while searching for Celestina, a beloved goat mascot."
Hi Score Girl,Japan,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","A chronic gamer abysmally inept in academics and sports finally meets his match at his usual shady arcade – and it’s his rich classmate, Akira."
Masha's Spooky Stories,"United States, Russia",TV-Y,Kids' TV,"Masha explains why there's no need to be scared of things like monsters, the dark, going to a new school, thunder and other common childhood fears."
Jezebel,United States,TV-MA,"Dramas, Independent Movies","During the internet's infancy, a vulnerable woman follows her sister into the sex industry as a webcam model but her sudden popularity tests their bond."
The Hurricane Heist,"United Kingdom, United States",PG-13,Action & Adventure,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.
Ajaibnya Cinta,,TV-PG,"International TV Shows, TV Dramas","Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss."""
Bewildered Bolbol,Egypt,TV-14,"Comedies, International Movies, Romantic Movies",A man suffering from amnesia can't seem to choose between the women playing tricks on him.
Don't Go Breaking My Heart 2,"Hong Kong, China",TV-14,"Comedies, International Movies, Romantic Movies","Zixin is about to marry Qihong, but her gallivanting ex returns to wreak havoc as mistaken identities and love triangles stir up the lovers' paradise."
Carrie,United States,R,"Classic Movies, Cult Movies, Horror Movies","An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom."
Free Willy,"United States, France, Mexico",PG,"Children & Family Movies, Dramas","Ordered to clean up the graffiti he painted at a marine theme park, a troubled young boy unexpectedly bonds with a killer whale on exhibit."
How to Get Over a Breakup,Peru,TV-MA,"Comedies, International Movies, Romantic Movies","A heartbroken ad copywriter living in Lima, Peru, is inspired to write a blog about life as a single woman and is surprised by her website's success."
Dirty Money,United States,TV-MA,"Crime TV Shows, Docuseries","From crippling payday loans to cars that cheat emissions tests, this investigative series exposes brazen acts of corporate greed and corruption."
Total Recall,"United States, Mexico",R,"Action & Adventure, Sci-Fi & Fantasy","After getting a memory implant, working stiff Douglas Quaid discovers he might actually be a secret agent embroiled in a violent insurrection on Mars."
​​Kuch Bheege Alfaaz,India,TV-14,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond."
Counterfeiting in Suburbia,Canada,TV-14,"Dramas, Thrillers","Two teenagers print counterfeit money in their high school art room, but things go terribly wrong when their debt-ridden teacher becomes suspicious."
Frequency,United States,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries","A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp."
Alan Saldaña: Locked Up,Mexico,TV-MA,Stand-Up Comedy,"Mexican comedian Alan Saldaña is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents."
White Christmas,United States,TV-G,"Children & Family Movies, Classic Movies, Comedies","Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place."
Ferris Bueller's Day Off,United States,PG-13,"Classic Movies, Comedies, Cult Movies","After faking an illness to skip school, popular teen Ferris Bueller enjoys a fun-filled day in Chicago with his girlfriend and his uptight best friend."
Why Are You Like This,Australia,TV-MA,"International TV Shows, TV Comedies","Three best friends negotiate work, fun, identity politics, hookups and wild nights out in this razor-sharp satire of 20-something life in Melbourne."
Feel Good,United Kingdom,TV-MA,"Romantic TV Shows, TV Comedies, TV Dramas","Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety."
Power Rangers Samurai: Clash of the Red Rangers,United States,TV-Y7,Children & Family Movies,The Samurai Rangers team up with the RPM Ranger Red to fight off Master Xandred's Mooger army and a robotic villain from the RPM Ranger's dimension.
Treehouse Detectives,"South Korea, United States",TV-Y,"Kids' TV, TV Thrillers","When their animal friends need help, brother-and-sister team Toby and Teri use the clues and follow the facts to solve mysteries in their own backyard."
Aamir,India,TV-14,"International Movies, Thrillers","In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
Flying Guillotine 2,Hong Kong,TV-MA,"Action & Adventure, International Movies","The emperor's reign of terror expands. Heroic outlaw Ma Teng joins a squad of female rebels, whose leader is torn between family loyalties."
Figures of Speech,United States,TV-PG,Documentaries,"In this documentary, passionate high schoolers travel the country and come of age during a turbulent yearlong prep for a national speech competition."
Undercover: How to Operate Behind Enemy Lines,United States,TV-PG,"Classic Movies, Documentaries",This World War II-era training film dramatizes how secret agents should act while undercover and how to avoid capture by enemies.
The Show,United States,TV-MA,Dramas,A disillusioned reality TV host and an idealistic producer are lured by their network into producing a show in which participants kill themselves.
True Grit,United States,G,"Classic Movies, Dramas",Teenage tomboy Mattie Ross enlists the help of crusty lawman Rooster Cogburn to track down the hired hand who murdered her father.
Kalki,India,TV-14,"Dramas, Independent Movies, International Movies",A scientist trying to solve one of the universe's greatest puzzles begins a romance with a much younger colleague that's haunted by a dark secret.
A Thin Line Between Love & Hate,United States,R,"Comedies, Romantic Movies","When a philandering club promoter sets out to woo a rich, glamorous woman, he has no clue just how much mayhem he's about to unleash on his life."
The A List,United Kingdom,TV-PG,"British TV Shows, International TV Shows, TV Dramas","Romance, rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful, supernatural drama."
Clickbait,,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries","When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
Abyss,South Korea,TV-14,"Crime TV Shows, International TV Shows, Korean TV Shows","After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize."
The Clapper,United States,R,"Comedies, Dramas, Independent Movies","A newcomer ekes out a living in LA as a professional audience member on infomercials, but life gets complicated when he's thrust into the spotlight."
City of Tiny Lights,United Kingdom,TV-MA,"Dramas, International Movies, Thrillers","In moody London, a burned-out sleuth sinks into a world of corruption and murderous romance when he tackles a mysterious case of a missing sex worker."
Sardaarji 2,"Australia, India",TV-PG,"Action & Adventure, Comedies, International Movies",A simple farmer's life becomes complicated after he resolves to save his village from an economic crisis by traveling to Australia to earn money.
Pineapple Express,United States,R,"Action & Adventure, Comedies","After witnessing a murder, a perpetually stoned process server and his good-natured dealer go on the run from a drug lord who's out to kill them."
Zindagi Gulzar Hai,Pakistan,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas","Strong-willed, middle-class Kashaf and carefree, wealthy Zaroon meet in college, but before love can take root, they each have some growing up to do."
Supermarket Sweep,United States,TV-G,Reality TV,"In this iconic game show, contestants answer food trivia questions then race against the clock while stuffing their carts for massive grocery gains."
Ready,India,TV-PG,"Comedies, International Movies, Romantic Movies","Bollywood superstar Salman Khan plays Prem, an heir to a perfume fortune who falls in love with the wrong woman in this romantic comedy."
Thumper,United States,TV-MA,"Dramas, Thrillers","After moving to a hardscrabble suburban California town, a young woman becomes dangerously entangled with a local drug enterprise."
Genius of the Ancient World,United Kingdom,TV-PG,"British TV Shows, Docuseries, International TV Shows","Historian Bettany Hughes travels to India, Greece and China to explore the lives and times of Buddha, Socrates and Confucius."
Weeds on Fire,Hong Kong,TV-MA,"Dramas, Independent Movies, International Movies","In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league."
Christmas Inheritance,United States,TV-G,"Dramas, International Movies, Romantic Movies","To inherit her father's company, socialite Ellen must first visit his small hometown, where she learns the value of hard work and helping others."
Equals,"United States, Indonesia",PG-13,"Dramas, Romantic Movies, Sci-Fi & Fantasy",Two young lovers depart from the norm simply by having romantic feelings for each other in a society where humans have been relieved of all emotions.
Hashoter Hatov,Israel,TV-MA,"Crime TV Shows, International TV Shows, TV Comedies",An honest – though overzealous – police officer strives to do good work while dealing with his bickering parents and incompetent coworkers.
The Rap Game,United States,TV-14,Reality TV,Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.
Haani,India,TV-14,"Dramas, International Movies, Music & Musicals","When a man discovers that he can communicate with his grandfather's spirit, it leads to two love stories intertwining 50 years apart."
Rememory,"United Kingdom, United States, Canada",PG-13,"Dramas, Sci-Fi & Fantasy","A psychologist is murdered after unveiling a breakthrough invention that extracts memories, spurring a fixated former patient to hunt for answers."
Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,,TV-PG,"Documentaries, International Movies",An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.
Merlin,United Kingdom,TV-PG,"British TV Shows, International TV Shows, TV Action & Adventure","This family-oriented retelling of the King Arthur legend finds Merlin arriving in Camelot, where he hones his magic skills with the help of his uncle."
The Pharmacist,United States,TV-MA,"Crime TV Shows, Docuseries","After his son's tragic death, a Louisiana pharmacist goes to extremes to expose the rampant corruption behind the opioid addiction crisis."
"Michael Bolton's Big, Sexy Valentine's Day Special",United States,TV-MA,"Comedies, Music & Musicals, Romantic Movies","After Santa tells him he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a telethon to inspire the world to make love."
14 Cameras,United States,TV-MA,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy."
Unicorn Store,United States,TV-14,"Comedies, Dramas, Independent Movies","After failing out of art school and taking a humdrum office job, a whimsical painter gets a chance to fulfill her lifelong dream of adopting a unicorn."
Fate/Grand Order -First Order-,Japan,TV-14,"Action & Adventure, Anime Features, International Movies","Discovering that humanity is facing extinction, a new recruit to the Chaldea Security Organization goes back in time in order to save the future."
Santana,"South Africa, Angola",TV-MA,"Action & Adventure, International Movies",Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.
A Love Song for Latasha,United States,TV-PG,Documentaries,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.
Dilan 1990,Indonesia,TV-14,"Dramas, International Movies, Romantic Movies","At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea."
RattleSnake - The Ahanna Story,Nigeria,TV-MA,"Dramas, International Movies, Thrillers","In this stylish remake, a disillusioned mastermind assembles a team to pull off a series of spectacular heists — but his crimes make too many enemies."
Omniscient,Brazil,TV-MA,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a city where citizens are monitored 24/7, a tech employee must outsmart her surveillance drone in order to investigate a murder."
The Jungle School,Indonesia,TV-PG,"Dramas, International Movies",An idealistic young woman travels to the jungles of Indonesia to teach literacy – and much more – to local children.
The Circle France,,TV-MA,"International TV Shows, Reality TV","Status and strategy collide in this social media competition where online players flirt, befriend and catfish their way toward 100,000 euros."
Loev,India,TV-MA,"Dramas, Independent Movies, International Movies",Lives are upended when a hiking trip leads a Wall Street hotshot to explore his true feelings for an old pal who’s disenchanted with his boyfriend.
Best.Worst.Weekend.Ever.,United States,TV-PG,"Kids' TV, TV Comedies","Teenage friends plan an epic trip to Comic-Con to meet their idol, only to get caught in one hilariously awkward predicament after another."
Octonauts,"United States, Ireland, United Kingdom, India",TV-Y,"British TV Shows, Kids' TV",A team of brave underwater explorers known as the Octonauts combs the world's oceans for aquatic creatures in desperate need of assistance.
Savages,United States,R,"Dramas, Thrillers","With the help of a shady DEA agent, two weed entrepreneurs take on a merciless cartel leader who wants in on their business and kidnaps their lover."
Sprinter,"Jamaica, United States",TV-MA,"Dramas, International Movies, Sports Movies","When a Jamaican teen hopes to use track to reunite him with his mother in America, family dysfunction at home threatens to knock his plans off course."
The Story of God with Morgan Freeman,United States,TV-14,Docuseries,"Host Morgan Freeman explores religion's role in human history, how our beliefs connect us and possible answers to life's million-dollar questions."
Motu Patlu in Hong Kong: Kung Fu Kings 3,,TV-Y7,"Children & Family Movies, Music & Musicals","With a dangerous villain to defeat in Hong Kong, Motu takes his martial arts skills to the next level, training with a boneless master to face the foe."
Monster High: Ghouls Rule,United States,TV-Y7,Children & Family Movies,"After learning that monsters and ""Normies"" used to spend Halloween together, Frankie Stein and her pals rally both groups for a frightfully good time."
Bondi Rescue,Australia,TV-PG,Reality TV,"This reality series follows elite professional lifeguards on Sydney's Bondi Beach, as they take on everything from animal stings to criminals."
Game Over (Telugu Version),,TV-MA,"Horror Movies, International Movies, Thrillers","As a series of murders hit close to home, a video game designer with PTSD must confront her demons, or risk becoming their victim."
Well-Intended Love,China,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","To secure a bone marrow donation, an actress diagnosed with leukemia makes a marriage pact with a young CEO – but love and secrets get in the way."
Candy Jar,United States,TV-14,"Children & Family Movies, Dramas, Romantic Movies",Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.
Super Monsters,,TV-Y,Kids' TV,Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.
All My Friends Are Dead,Poland,TV-MA,"Comedies, Dramas, International Movies","A group of friends at a New Year’s Eve party go through a whirlwind of events that exposes secrets, breaks hearts — and leads to a shocking outcome."
You're Everything To Me,Turkey,TV-PG,"Comedies, Dramas, Independent Movies","When an old fling shows up with their infant child, a dallying man-child must take on the role of father and create a fairytale world for his daughter."
Satrangi,,TV-PG,"Docuseries, International TV Shows",Young musicians from 13 states in India demonstrate their cultural heritage by performing regional folk music using traditional instruments.
June & Kopi,Indonesia,TV-PG,"Children & Family Movies, Dramas, International Movies","A street dog is taken in by a young couple, and the family pit becomes an instant accomplice as she adjusts to her new, loving home."
Cam,United States,TV-MA,"Horror Movies, Independent Movies, Thrillers","After a look-alike takes over her account, a cam girl with a growing fan base sets out to identify the mysterious culprit and reclaim her own identity."
The Parisian Agency: Exclusive Properties,,TV-G,"International TV Shows, Reality TV",This reality series follows the Kretz family and their luxury property business as they help clients buy and sell fabulous homes in France and abroad.
I Am Maris,United States,TV-14,Documentaries,"Through her own words and art, a young woman details the healing power of yoga in her struggle with anorexia and her journey to self-acceptance."
Earth to Luna!,Brazil,TV-Y,Kids' TV,"Curious about everything and excited about science, 6-year-old Luna, her brother Jupiter and pet Clyde explore nature to learn about the world."
One 2 Ka 4,India,TV-14,"Action & Adventure, Comedies, Dramas","When his partner is killed, a young cop is forced to care for the man's four children, and solicits the help of a woman who moves in with them."
Queen,India,TV-MA,"Comedies, Dramas, International Movies","Dumped by her fiancé, a sheltered young woman decides to go on her honeymoon to Europe alone, embarking on an exhilarating journey of self-discovery."
Game Winning Hit,Taiwan,TV-MA,"International TV Shows, TV Comedies, TV Dramas",An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.
Bard of Blood,India,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas","Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission."
Shrek the Musical,United States,TV-G,"Children & Family Movies, Comedies, Music & Musicals","The greatest fairy tale never told comes to life in this colorful, song-filled, Tony Award-winning Broadway production based on the hit movie."
The Burial of Kojo,"Ghana, United States",TV-14,"Dramas, Independent Movies, International Movies","When a man is left to die inside an illegal gold mine, his daughter travels through a magical landscape to save him."
Fall in Love with Me,Taiwan,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",The head of a struggling ad agency finds herself torn between a hotshot executive and a kind stranger – not realizing they're the same person.
Taal,India,TV-PG,"Dramas, International Movies, Music & Musicals","Businessman Manav falls for aspiring singer Mansi, but their romance faces an uphill climb when Manav must depart and Mansi's suave manager moves in."
Aiyaary,India,TV-MA,"Action & Adventure, Dramas, International Movies","When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs."
Narcos: Mexico,"Mexico, United States",TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas","Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent."
Gangs of Hassepur,India,TV-PG,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies","Training a keen eye on hot-button political topics, this variety show features stand-up comedy, sketches and sarcastic celebrity impersonations."
Set Up,United States,R,Action & Adventure,"A diamond heist goes horribly wrong, and the group of friends who sought to make a fortune must instead fight for their very survival."
Terrace House: Aloha State,"United States, Japan",TV-14,"International TV Shows, Reality TV","The beautiful island of Oahu is host to a new batch of six strangers who share a single roof, multiple conflicts and no script in this reality series."
